 Cycle     Profits
   191   165991.08
   194   213679.72
   197   202107.53
   200   266141.74
   203   453116.04
   206   626412.70
   209   521265.37
   212   578524.21
   215  1269179.02
   218   810032.93
   621   708370.12
   624   626436.00
   627   500002.39
   630   277727.73
   633   285445.24
   636   245544.09
   639   228582.13
   642   140706.21
   645   113234.63
   649   120456.11
  1102   145319.14
  1105    89007.53
  1108   258910.80
  1111   244240.22
  1114   365113.85
  1117   252466.78
  1120   450833.16
  1123   991228.51
  1126   756646.65
  1129   637539.11
  1362   745717.21
  1365   725614.85
  1368   493710.14
  1371   499501.31
  1374   379226.63
  1377   309463.67
  1380   174623.32
  1383   141907.78
  1386   249722.63
  1389   163208.74
