 Cycle Period  Scenario   Power Gen   #Turbines
   191      1         1        0.00           0
   191      1         2        0.00           0
   191      1         3        0.00           0
   191      1         4        0.00           0
   191      1         5        0.00           0
   191      1         6        0.00           0
   191      1         7        0.00           0
   191      1         8        0.00           0
   191      1         9        0.00           0
   191      1        10        0.00           0
   191      1        11        0.00           0
   191      1        12        0.00           0
   191      1        13        0.00           0
   191      1        14        0.00           0
   191      1        15        0.00           0
   191      2         1        0.00           0
   191      2         2        0.00           0
   191      2         3        0.00           0
   191      2         4        0.00           0
   191      2         5        0.00           0
   191      2         6        0.00           0
   191      2         7        0.00           0
   191      2         8        0.00           0
   191      2         9        0.00           0
   191      2        10        0.00           0
   191      2        11        0.00           0
   191      2        12        0.00           0
   191      2        13        0.00           0
   191      2        14        0.00           0
   191      2        15        0.00           0
   191      3         1        0.00           0
   191      3         2        0.00           0
   191      3         3        0.00           0
   191      3         4        0.00           0
   191      3         5        0.00           0
   191      3         6        0.00           0
   191      3         7        0.00           0
   191      3         8        0.00           0
   191      3         9        0.00           0
   191      3        10        0.00           0
   191      3        11        0.00           0
   191      3        12        0.00           0
   191      3        13        0.00           0
   191      3        14        0.00           0
   191      3        15        0.00           0
   191      4         1        0.00           0
   191      4         2        0.00           0
   191      4         3        0.00           0
   191      4         4        0.00           0
   191      4         5        0.00           0
   191      4         6        0.00           0
   191      4         7        0.00           0
   191      4         8        0.00           0
   191      4         9        0.00           0
   191      4        10        0.00           0
   191      4        11        0.00           0
   191      4        12        0.00           0
   191      4        13        0.00           0
   191      4        14        0.00           0
   191      4        15        0.00           0
   191      5         1        0.00           0
   191      5         2        0.00           0
   191      5         3        0.00           0
   191      5         4        0.00           0
   191      5         5        0.00           0
   191      5         6        0.00           0
   191      5         7        0.00           0
   191      5         8        0.00           0
   191      5         9        0.00           0
   191      5        10        0.00           0
   191      5        11        0.00           0
   191      5        12        0.00           0
   191      5        13        0.00           0
   191      5        14        0.00           0
   191      5        15        0.00           0
   191      6         1        0.00           0
   191      6         2        0.00           0
   191      6         3        0.00           0
   191      6         4        0.00           0
   191      6         5        0.00           0
   191      6         6        0.00           0
   191      6         7        0.00           0
   191      6         8        5.27           1
   191      6         9        0.00           0
   191      6        10        0.00           0
   191      6        11        0.00           0
   191      6        12        0.00           0
   191      6        13        0.00           0
   191      6        14        0.00           0
   191      6        15        0.00           0
   191      7         1        0.00           0
   191      7         2        0.00           0
   191      7         3        0.00           0
   191      7         4        0.00           0
   191      7         5        0.00           0
   191      7         6        0.00           0
   191      7         7        0.00           0
   191      7         8        0.00           0
   191      7         9        0.00           0
   191      7        10        0.00           0
   191      7        11        0.00           0
   191      7        12        0.00           0
   191      7        13        0.00           0
   191      7        14        0.00           0
   191      7        15        7.18           1
   191      8         1        0.00           0
   191      8         2        0.00           0
   191      8         3        0.00           0
   191      8         4       18.27           2
   191      8         5        0.00           0
   191      8         6        0.00           0
   191      8         7        0.00           0
   191      8         8        8.35           1
   191      8         9        0.00           0
   191      8        10        0.00           0
   191      8        11        0.00           0
   191      8        12       18.27           2
   191      8        13        0.00           0
   191      8        14        0.00           0
   191      8        15        0.00           0
   191      9         1       11.01           1
   191      9         2        0.00           0
   191      9         3        0.00           0
   191      9         4        9.43           1
   191      9         5        0.00           0
   191      9         6       22.02           2
   191      9         7        0.00           0
   191      9         8        0.00           0
   191      9         9        0.00           0
   191      9        10        0.00           0
   191      9        11       11.01           1
   191      9        12        0.00           0
   191      9        13        0.00           0
   191      9        14        0.00           0
   191      9        15        0.00           0
   191     10         1       43.81           2
   191     10         2       46.71           2
   191     10         3       68.04           2
   191     10         4       54.16           2
   191     10         5       39.49           2
   191     10         6       59.02           2
   191     10         7       68.04           2
   191     10         8        0.00           0
   191     10         9       68.04           2
   191     10        10        0.00           0
   191     10        11       63.81           2
   191     10        12       59.02           2
   191     10        13       39.49           2
   191     10        14       34.02           1
   191     10        15       25.18           1
   191     11         1       56.44           2
   191     11         2       61.30           2
   191     11         3       55.07           2
   191     11         4       29.65           2
   191     11         5       63.41           2
   191     11         6       46.28           2
   191     11         7       55.07           2
   191     11         8       66.99           2
   191     11         9       20.95           2
   191     11        10       67.02           2
   191     11        11       50.21           2
   191     11        12       18.09           2
   191     11        13       43.53           2
   191     11        14       65.80           2
   191     11        15       63.41           2
   191     12         1       41.85           2
   191     12         2       45.69           2
   191     12         3       40.77           2
   191     12         4       34.84           2
   191     12         5       47.35           2
   191     12         6       33.85           2
   191     12         7       40.77           2
   191     12         8       51.47           2
   191     12         9       51.47           2
   191     12        10       63.41           2
   191     12        11       15.06           2
   191     12        12       42.68           2
   191     12        13       53.58           2
   191     12        14       50.10           2
   191     12        15       47.35           2
   636      1         1        0.00           0
   636      1         2        0.00           0
   636      1         3        0.00           0
   636      1         4        0.00           0
   636      1         5        0.00           0
   636      1         6        0.00           0
   636      1         7        0.00           0
   636      1         8        0.00           0
   636      1         9        0.00           0
   636      1        10        0.00           0
   636      1        11        0.00           0
   636      1        12        0.00           0
   636      1        13        0.00           0
   636      1        14        0.00           0
   636      1        15        0.00           0
   636      2         1        0.00           0
   636      2         2        0.00           0
   636      2         3        0.00           0
   636      2         4        0.00           0
   636      2         5        0.00           0
   636      2         6        0.00           0
   636      2         7        0.00           0
   636      2         8        0.00           0
   636      2         9        0.00           0
   636      2        10        0.00           0
   636      2        11        0.00           0
   636      2        12        0.00           0
   636      2        13        0.00           0
   636      2        14        0.00           0
   636      2        15        0.00           0
   636      3         1        0.00           0
   636      3         2        0.00           0
   636      3         3        0.00           0
   636      3         4        0.00           0
   636      3         5        0.00           0
   636      3         6        0.00           0
   636      3         7        0.00           0
   636      3         8        0.00           0
   636      3         9        0.00           0
   636      3        10        0.00           0
   636      3        11        0.00           0
   636      3        12        0.00           0
   636      3        13        0.00           0
   636      3        14        0.00           0
   636      3        15        0.00           0
   636      4         1        0.00           0
   636      4         2        0.00           0
   636      4         3        0.00           0
   636      4         4        0.00           0
   636      4         5        0.00           0
   636      4         6        0.00           0
   636      4         7        0.00           0
   636      4         8        0.00           0
   636      4         9        0.00           0
   636      4        10        0.00           0
   636      4        11        0.00           0
   636      4        12        0.00           0
   636      4        13        0.00           0
   636      4        14        0.00           0
   636      4        15        0.00           0
   636      5         1        0.00           0
   636      5         2        0.00           0
   636      5         3        0.00           0
   636      5         4        0.00           0
   636      5         5        0.00           0
   636      5         6        0.00           0
   636      5         7        0.00           0
   636      5         8        0.00           0
   636      5         9        0.00           0
   636      5        10        0.00           0
   636      5        11        0.00           0
   636      5        12        0.00           0
   636      5        13        0.00           0
   636      5        14        0.00           0
   636      5        15        0.00           0
   636      6         1        0.00           0
   636      6         2        0.00           0
   636      6         3        0.00           0
   636      6         4        0.00           0
   636      6         5        0.00           0
   636      6         6        0.00           0
   636      6         7        0.00           0
   636      6         8        0.00           0
   636      6         9        0.00           0
   636      6        10        0.00           0
   636      6        11        0.00           0
   636      6        12        0.00           0
   636      6        13        0.00           0
   636      6        14        0.00           0
   636      6        15        0.00           0
   636      7         1        0.00           0
   636      7         2        0.00           0
   636      7         3        0.00           0
   636      7         4        0.00           0
   636      7         5        0.00           0
   636      7         6        0.00           0
   636      7         7        0.00           0
   636      7         8        0.00           0
   636      7         9        0.00           0
   636      7        10        0.00           0
   636      7        11        0.00           0
   636      7        12        0.00           0
   636      7        13        0.00           0
   636      7        14        0.00           0
   636      7        15        0.00           0
   636      8         1        0.00           0
   636      8         2       13.03           1
   636      8         3        0.00           0
   636      8         4       69.86           2
   636      8         5        0.00           0
   636      8         6        0.00           0
   636      8         7        0.00           0
   636      8         8        0.00           0
   636      8         9        0.00           0
   636      8        10        0.00           0
   636      8        11       13.03           1
   636      8        12        0.00           0
   636      8        13        0.00           0
   636      8        14       45.46           2
   636      8        15        0.00           0
   636      9         1       83.73           2
   636      9         2       77.93           2
   636      9         3       83.73           2
   636      9         4       12.02           1
   636      9         5       83.73           2
   636      9         6       83.73           2
   636      9         7       55.99           2
   636      9         8       83.73           2
   636      9         9       83.73           2
   636      9        10       83.73           2
   636      9        11       54.58           2
   636      9        12        0.00           0
   636      9        13       57.48           2
   636      9        14       70.47           2
   636      9        15       67.56           2
   636     10         1       14.30           1
   636     10         2       72.86           2
   636     10         3       76.66           2
   636     10         4       70.87           2
   636     10         5       76.66           2
   636     10         6       76.66           2
   636     10         7       71.68           2
   636     10         8       76.66           2
   636     10         9       62.97           2
   636     10        10       76.66           2
   636     10        11       77.86           2
   636     10        12       95.96           2
   636     10        13       70.23           2
   636     10        14       63.41           2
   636     10        15       60.52           2
   636     11         1       82.28           2
   636     11         2       63.41           2
   636     11         3       67.21           2
   636     11         4       63.41           2
   636     11         5       67.21           2
   636     11         6       67.21           2
   636     11         7       75.86           2
   636     11         8       67.21           2
   636     11         9       52.91           2
   636     11        10       67.21           2
   636     11        11       68.40           2
   636     11        12       86.51           2
   636     11        13       75.86           2
   636     11        14       20.13           2
   636     11        15       75.86           2
   648      1         1        0.00           0
   648      1         2        0.00           0
   648      1         3        0.00           0
   648      1         4        0.00           0
   648      1         5        0.00           0
   648      1         6        0.00           0
   648      1         7        0.00           0
   648      1         8        0.00           0
   648      1         9        0.00           0
   648      1        10        0.00           0
   648      1        11        0.00           0
   648      1        12        0.00           0
   648      1        13        0.00           0
   648      1        14        0.00           0
   648      1        15        0.00           0
   648      2         1        0.00           0
   648      2         2        0.00           0
   648      2         3        0.00           0
   648      2         4        0.00           0
   648      2         5        0.00           0
   648      2         6        0.00           0
   648      2         7        0.00           0
   648      2         8        0.00           0
   648      2         9        0.00           0
   648      2        10        0.00           0
   648      2        11        0.00           0
   648      2        12        0.00           0
   648      2        13        0.00           0
   648      2        14        0.00           0
   648      2        15        0.00           0
   648      3         1        0.00           0
   648      3         2        0.00           0
   648      3         3        0.00           0
   648      3         4        0.00           0
   648      3         5        0.00           0
   648      3         6        0.00           0
   648      3         7        0.00           0
   648      3         8        0.00           0
   648      3         9        0.00           0
   648      3        10        0.00           0
   648      3        11        0.00           0
   648      3        12        0.00           0
   648      3        13        0.00           0
   648      3        14        0.00           0
   648      3        15        0.00           0
   648      4         1        0.00           0
   648      4         2        0.00           0
   648      4         3        0.00           0
   648      4         4        0.00           0
   648      4         5        0.00           0
   648      4         6        0.00           0
   648      4         7        0.00           0
   648      4         8        0.00           0
   648      4         9        0.00           0
   648      4        10        0.00           0
   648      4        11        0.00           0
   648      4        12        0.00           0
   648      4        13        0.00           0
   648      4        14        0.00           0
   648      4        15        0.00           0
   648      5         1        0.00           0
   648      5         2        0.00           0
   648      5         3        0.00           0
   648      5         4        0.00           0
   648      5         5        0.00           0
   648      5         6        0.00           0
   648      5         7        0.00           0
   648      5         8        0.00           0
   648      5         9        0.00           0
   648      5        10        0.00           0
   648      5        11        0.00           0
   648      5        12        0.00           0
   648      5        13        0.00           0
   648      5        14        0.00           0
   648      5        15        0.00           0
   648      6         1        0.00           0
   648      6         2        0.00           0
   648      6         3        0.00           0
   648      6         4        0.00           0
   648      6         5        0.00           0
   648      6         6        0.00           0
   648      6         7        0.00           0
   648      6         8        0.00           0
   648      6         9        0.00           0
   648      6        10        0.00           0
   648      6        11        0.00           0
   648      6        12        0.00           0
   648      6        13        0.00           0
   648      6        14        0.00           0
   648      6        15        0.00           0
   648      7         1        0.00           0
   648      7         2        0.00           0
   648      7         3        0.00           0
   648      7         4        0.00           0
   648      7         5        0.00           0
   648      7         6        0.00           0
   648      7         7        0.00           0
   648      7         8        0.00           0
   648      7         9        0.00           0
   648      7        10        0.00           0
   648      7        11        0.00           0
   648      7        12        0.00           0
   648      7        13        0.00           0
   648      7        14        0.00           0
   648      7        15        0.00           0
   648      8         1        0.00           0
   648      8         2        0.00           0
   648      8         3        0.00           0
   648      8         4        0.00           0
   648      8         5        0.00           0
   648      8         6        0.00           0
   648      8         7        0.00           0
   648      8         8        0.00           0
   648      8         9        0.00           0
   648      8        10        0.00           0
   648      8        11        0.00           0
   648      8        12        0.00           0
