 Cycle     Profits
   191   160016.49
   194   216649.20
   197   207381.99
   200   273130.12
   203   452318.76
   206   626412.69
   209   520249.97
   212   584795.86
   215  1269179.02
   218   811788.18
   621   709599.17
   624   626436.00
   627   500002.39
   630   271601.52
   633   297748.39
   636   247219.38
   639   222083.74
   642   146096.55
   645   120497.11
   649   121743.84
  1102   143894.97 
  1105    89890.67
  1108   258532.24
  1111   248891.11
  1114   366655.32
  1117   254958.95
  1120   452137.41
  1123   990141.74
  1126   756373.54
  1129   637426.53
  1362   745934.71
  1365   725614.88
  1368   494592.88
  1371   499501.31
  1374   382241.05
  1377   292014.81
  1380   172459.44
  1383   143886.81
  1386   244256.89
  1389   169239.26
