 Cycle Period  Scenario      SoldDA      SoldRT
   191      1         1        0.00        0.00
   191      1         2        0.00        0.00
   191      1         3        0.00        0.00
   191      1         4        0.00        0.00
   191      1         5        0.00        0.00
   191      1         6        0.00        0.00
   191      1         7        0.00        0.00
   191      1         8        0.00        0.00
   191      1         9        0.00        0.00
   191      1        10        0.00        0.00
   191      1        11        0.00        0.00
   191      1        12        0.00        0.00
   191      1        13        0.00        0.00
   191      1        14        0.00        0.00
   191      1        15        0.00        0.00
   191      2         1        0.00        0.00
   191      2         2        0.00        0.00
   191      2         3        0.00        0.00
   191      2         4        0.00        0.00
   191      2         5        0.00        0.00
   191      2         6        0.00        0.00
   191      2         7        0.00        0.00
   191      2         8        0.00        0.00
   191      2         9        0.00        0.00
   191      2        10        0.00        0.00
   191      2        11        0.00        0.00
   191      2        12        0.00        0.00
   191      2        13        0.00        0.00
   191      2        14        0.00        0.00
   191      2        15        0.00        0.00
   191      3         1        0.00        0.00
   191      3         2        0.00        0.00
   191      3         3        0.00        0.00
   191      3         4        0.00        0.00
   191      3         5        0.00        0.00
   191      3         6        0.00        0.00
   191      3         7        0.00        0.00
   191      3         8        0.00        0.00
   191      3         9        0.00        0.00
   191      3        10        0.00        0.00
   191      3        11        0.00        0.00
   191      3        12        0.00        0.00
   191      3        13        0.00        0.00
   191      3        14        0.00        0.00
   191      3        15        0.00        0.00
   191      4         1        0.00        0.00
   191      4         2        0.00        0.00
   191      4         3        0.00        0.00
   191      4         4        0.00        0.00
   191      4         5        0.00        0.00
   191      4         6        0.00        0.00
   191      4         7        0.00        0.00
   191      4         8        0.00        0.00
   191      4         9        0.00        0.00
   191      4        10        0.00        0.00
   191      4        11        0.00        0.00
   191      4        12        0.00        0.00
   191      4        13        0.00        0.00
   191      4        14        0.00        0.00
   191      4        15        0.00        0.00
   191      5         1        0.00        0.00
   191      5         2        0.00        0.00
   191      5         3        0.00        0.00
   191      5         4        0.00        0.00
   191      5         5        0.00        0.00
   191      5         6        0.00        0.00
   191      5         7        0.00        0.00
   191      5         8        0.00        0.00
   191      5         9        0.00        0.00
   191      5        10        0.00        0.00
   191      5        11        0.00        0.00
   191      5        12        0.00        0.00
   191      5        13        0.00        1.76
   191      5        14        0.00        0.00
   191      5        15        0.00       -0.00
   191      6         1        0.00        0.00
   191      6         2        0.00        0.00
   191      6         3        0.00        0.00
   191      6         4        0.00        0.00
   191      6         5        0.00        0.00
   191      6         6        0.00        0.00
   191      6         7        0.00        0.00
   191      6         8        0.00        0.00
   191      6         9        0.00        0.00
   191      6        10        0.00        0.00
   191      6        11        0.00        0.00
   191      6        12        0.00        0.00
   191      6        13        0.00        0.00
   191      6        14        0.00        0.00
   191      6        15        0.00        0.00
   191      7         1        0.00        3.59
   191      7         2        0.00        3.59
   191      7         3        0.00        0.00
   191      7         4        0.00        0.00
   191      7         5        0.00        0.00
   191      7         6        0.00        0.00
   191      7         7        0.00       -0.00
   191      7         8        0.00        0.00
   191      7         9        0.00        0.00
   191      7        10        0.00        0.00
   191      7        11        0.00        0.00
   191      7        12        0.00        0.00
   191      7        13        0.00        0.00
   191      7        14        0.00        0.00
   191      7        15        0.00        0.00
   191      8         1        0.00        0.00
   191      8         2        0.00        0.00
   191      8         3        0.00        0.00
   191      8         4        0.00        4.57
   191      8         5        0.00        0.00
   191      8         6        0.00        0.00
   191      8         7        0.00        0.00
   191      8         8        0.00        9.14
   191      8         9        0.00        0.00
   191      8        10        0.00        0.00
   191      8        11        0.00        0.00
   191      8        12        0.00        9.14
   191      8        13        0.00        0.00
   191      8        14        0.00        0.00
   191      8        15        0.00        4.57
   191      9         1        3.70        1.41
   191      9         2        0.00        5.11
   191      9         3        0.00        0.00
   191      9         4        0.80        9.42
   191      9         5        0.00        0.00
   191      9         6        0.00       11.01
   191      9         7        0.00        0.00
   191      9         8        2.48        2.24
   191      9         9        0.00        0.00
   191      9        10        0.00        0.00
   191      9        11        0.00       11.01
   191      9        12        0.00        0.00
   191      9        13        1.08        4.03
   191      9        14        0.00        0.00
   191      9        15        5.11        0.00
   191     10         1        4.45       25.06
   191     10         2        5.17        9.58
   191     10         3       34.02        0.00
   191     10         4        0.00       18.70
   191     10         5       15.93        3.82
   191     10         6        0.00       29.51
   191     10         7        6.81       27.21
   191     10         8        0.00        5.16
   191     10         9       19.75        0.00
   191     10        10        0.00        0.00
   191     10        11       12.55       16.96
   191     10        12        8.91       20.60
   191     10        13        2.16       27.35
   191     10        14       10.30        9.45
   191     10        15        0.00       29.51
   191     11         1       23.14        0.00
   191     11         2        0.00       28.45
   191     11         3        7.75       19.79
   191     11         4        0.00       16.56
   191     11         5       21.77        0.00
   191     11         6        0.00       23.14
   191     11         7        0.00       27.53
   191     11         8       23.70        5.21
   191     11         9        0.00        7.92
   191     11        10        1.99        5.04
   191     11        11       21.78        1.36
   191     11        12        6.68        2.37
   191     11        13        0.21       15.88
   191     11        14       22.24        9.46
   191     11        15       21.19        1.95
   191     12         1       10.81        6.11
   191     12         2       21.11        0.00
   191     12         3        0.00       20.39
   191     12         4       16.34        3.42
   191     12         5        2.31       24.48
   191     12         6        0.00       16.92
   191     12         7       15.90        4.49
   191     12         8       16.79        4.68
   191     12         9        3.83       17.94
   191     12        10        0.00       31.97
   191     12        11       10.17        0.00
   191     12        12        0.00       21.34
   191     12        13        0.00       19.13
   191     12        14       20.05        3.62
   191     12        15       16.92        0.00
   191     13         1       10.63        0.00
   191     13         2        0.00       13.93
   191     13         3       13.36        0.00
   191     13         4        8.40        4.46
   191     13         5        0.00       12.96
   191     13         6        5.44        5.18
   191     13         7       13.16        0.19
   191     13         8        0.00       14.21
   191     13         9       11.27       14.12
   191     13        10        7.26       24.44
   191     13        11        7.46        5.28
   191     13        12       12.14        1.97
   191     13        13       12.33        0.04
   191     13        14        0.00       15.95
   191     13        15        0.00       10.63
   194      1         1        0.00        0.00
   194      1         2        0.00        0.00
   194      1         3        0.00        0.00
   194      1         4        0.00        0.00
   194      1         5        0.00        0.00
   194      1         6        0.00        0.00
   194      1         7        0.00        0.00
   194      1         8        0.00        0.00
   194      1         9        0.00        0.00
   194      1        10        0.00        0.00
   194      1        11        0.00        0.00
   194      1        12        0.00        0.00
   194      1        13        0.00        0.00
   194      1        14        0.00        0.00
   194      1        15        0.00        0.00
   194      2         1        0.00        0.00
   194      2         2        0.00        0.00
   194      2         3        0.00        0.00
   194      2         4        0.00        0.00
   194      2         5        0.00        0.00
   194      2         6        0.00        0.00
   194      2         7        0.00        0.00
   194      2         8        0.00        0.00
   194      2         9        0.00        0.00
   194      2        10        0.00        0.00
   194      2        11        0.00        0.00
   194      2        12        0.00        0.00
   194      2        13        0.00        0.00
   194      2        14        0.00        0.00
   194      2        15        0.00        0.00
   194      3         1        0.00        0.00
   194      3         2        0.00        0.00
   194      3         3        0.00        0.00
   194      3         4        0.00        0.00
   194      3         5        0.00        0.00
   194      3         6        0.00        0.00
   194      3         7        0.00        0.00
   194      3         8        0.00        0.00
   194      3         9        0.00        0.00
   194      3        10        0.00        0.00
   194      3        11        0.00        0.00
   194      3        12        0.00        0.00
   194      3        13        0.00        0.00
   194      3        14        0.00        0.00
   194      3        15        0.00        0.00
   194      4         1        0.00        0.00
   194      4         2        0.00        0.00
   194      4         3        0.00        0.00
   194      4         4        0.00        0.00
   194      4         5        0.00        0.00
   194      4         6        0.00        0.00
   194      4         7        0.00        0.00
   194      4         8        0.00        0.00
   194      4         9        0.00        0.00
   194      4        10        0.00        0.00
   194      4        11        0.00        0.00
   194      4        12        0.00        0.00
   194      4        13        0.00        0.00
   194      4        14        0.00        0.00
   194      4        15        0.00        0.00
   194      5         1        0.00        0.00
   194      5         2        0.00        0.00
   194      5         3        0.00        0.00
   194      5         4        0.00        0.00
   194      5         5        0.00        0.00
   194      5         6        0.00        0.00
   194      5         7        0.00        0.00
   194      5         8        0.00        0.00
   194      5         9        0.00        0.00
   194      5        10        0.00        0.00
   194      5        11        0.00        0.00
   194      5        12        0.00        0.00
   194      5        13        0.00        0.00
   194      5        14        0.00        0.00
   194      5        15        0.00        0.00
   194      6         1        0.00        0.00
   194      6         2        0.00        0.00
   194      6         3        0.00        0.00
