 Cycle Period  Scenario      SoldDA      SoldRT
   191      1         1        0.00        0.00
   191      1         2        0.00        0.00
   191      1         3        0.00        0.00
   191      1         4        0.00        0.00
   191      1         5        0.00        0.00
   191      1         6        0.00        0.00
   191      1         7        0.00        0.00
   191      1         8        0.00        0.00
   191      1         9        0.00        0.00
   191      1        10        0.00        0.00
   191      1        11        0.00        0.00
   191      1        12        0.00        0.00
   191      1        13        0.00        0.00
   191      1        14        0.00        0.00
   191      1        15        0.00        0.00
   191      2         1        0.00        0.00
   191      2         2        0.00        0.00
   191      2         3        0.00        0.00
   191      2         4        0.00        0.00
   191      2         5        0.00        0.00
   191      2         6        0.00        0.00
   191      2         7        0.00        0.00
   191      2         8        0.00        0.00
   191      2         9        0.00        0.00
   191      2        10        0.00        0.00
   191      2        11        0.00        0.00
   191      2        12        0.00        0.00
   191      2        13        0.00        0.00
   191      2        14        0.00        0.00
   191      2        15        0.00        0.00
   191      3         1        0.00        0.00
   191      3         2        0.00        0.00
   191      3         3        0.00        0.00
   191      3         4        0.00        0.00
   191      3         5        0.00        0.00
   191      3         6        0.00        0.00
   191      3         7        0.00        0.00
   191      3         8        0.00        0.00
   191      3         9        0.00        0.00
   191      3        10        0.00        0.00
   191      3        11        0.00        0.00
   191      3        12        0.00        0.00
   191      3        13        0.00        0.00
   191      3        14        0.00        0.00
   191      3        15        0.00        0.00
   191      4         1        0.00        0.00
   191      4         2        0.00        0.00
   191      4         3        0.00        0.00
   191      4         4        0.00        0.00
   191      4         5        0.00        0.00
   191      4         6        0.00        0.00
   191      4         7        0.00        0.00
   191      4         8        0.00        0.00
   191      4         9        0.00        0.00
   191      4        10        0.00        0.00
   191      4        11        0.00        0.00
   191      4        12        0.00        0.00
   191      4        13        0.00        0.00
   191      4        14        0.00        0.00
   191      4        15        0.00        0.00
   191      5         1        0.00        0.00
   191      5         2        0.00        0.00
   191      5         3        0.00        0.00
   191      5         4        0.00        0.00
   191      5         5        0.00        0.00
   191      5         6        0.00        0.00
   191      5         7        0.00        0.00
   191      5         8        0.00        0.00
   191      5         9        0.00        0.00
   191      5        10        0.00        0.00
   191      5        11        0.00        0.00
   191      5        12        0.00        0.00
   191      5        13        0.00        0.00
   191      5        14        0.00        0.00
   191      5        15        0.00        0.00
   191      6         1        0.00        0.00
   191      6         2        0.00        0.00
   191      6         3        0.00        0.00
   191      6         4        0.00        0.00
   191      6         5        0.00        0.00
   191      6         6        0.00        0.00
   191      6         7        0.00        0.00
   191      6         8        0.00        0.00
   191      6         9        0.00        0.00
   191      6        10        0.00        0.00
   191      6        11        0.00        0.00
   191      6        12        0.00        0.00
   191      6        13        0.00        0.00
   191      6        14        0.00        0.00
   191      6        15        0.00        0.00
   191      7         1        0.00        0.00
   191      7         2        0.00        0.00
   191      7         3        0.00        0.00
   191      7         4        0.00        0.00
   191      7         5        0.00        0.00
   191      7         6        0.00        0.00
   191      7         7        0.00        0.00
   191      7         8        0.00        0.00
   191      7         9        0.00        0.00
   191      7        10        0.00        0.00
   191      7        11        0.00        0.00
   191      7        12        0.00        0.00
   191      7        13        0.00        0.00
   191      7        14        0.00        0.00
   191      7        15        0.00        0.00
   191      8         1        0.00        0.00
   191      8         2        0.00        4.57
   191      8         3        0.00        0.00
   191      8         4        0.00        0.00
   191      8         5        0.00        0.00
   191      8         6        0.00        0.00
   191      8         7        0.00        0.00
   191      8         8        0.00        0.00
   191      8         9        0.00        0.00
   191      8        10        0.00        0.00
   191      8        11        0.00        0.00
   191      8        12        0.00        0.00
   191      8        13        0.00        0.00
   191      8        14        0.00        0.00
   191      8        15        0.00        0.00
   191      9         1        0.00        0.00
   191      9         2        0.00        0.00
   191      9         3        0.00        0.00
   191      9         4        0.00        0.00
   191      9         5        0.00        0.00
   191      9         6        0.00        0.00
   191      9         7        0.00        0.00
   191      9         8        0.00        0.00
   191      9         9        0.00        0.00
   191      9        10        0.00        0.00
   191      9        11        0.00        0.00
   191      9        12        0.00        0.00
   191      9        13        0.00        0.00
   191      9        14        0.00        0.00
   191      9        15        0.00       11.01
   191     10         1       18.70        1.05
   191     10         2       15.95        0.00
   191     10         3        0.24       33.78
   191     10         4        0.00       19.75
   191     10         5        0.78       33.24
   191     10         6        0.00       34.02
   191     10         7        3.30       16.45
   191     10         8        0.00       34.02
   191     10         9        0.00       34.02
   191     10        10        0.00       34.02
   191     10        11        0.00       34.02
   191     10        12        0.00       13.21
   191     10        13        0.00       19.75
   191     10        14        0.00       19.75
   191     10        15        0.00       29.51
   191     11         1       31.70        0.00
   191     11         2       15.52       15.13
   191     11         3        0.00       27.53
   191     11         4        0.00       31.70
   191     11         5        0.00       27.53
   191     11         6        0.00       27.53
   191     11         7        4.63       27.08
   191     11         8        0.00       27.53
   191     11         9        0.00       27.53
   191     11        10        0.00       27.53
   191     11        11        0.00       27.53
   191     11        12        0.00       16.93
   191     11        13        0.00       31.70
   191     11        14        0.00       21.77
   191     11        15        0.00       23.14
   191     12         1       23.67        0.00
   191     12         2       11.59       11.26
   191     12         3        0.00       20.39
   191     12         4        0.00       23.67
   191     12         5        0.00       20.39
   191     12         6        0.00       20.39
   191     12         7        3.45       20.22
   191     12         8        0.00       20.39
   191     12         9        0.00       20.39
   191     12        10        0.00       20.39
   191     12        11        0.00       20.39
   191     12        12        0.00       31.70
   191     12        13        0.00       23.67
   191     12        14        0.00       26.79
   191     12        15        0.00       16.92
   194      1         1        0.00        0.00
   194      1         2        0.00        0.00
   194      1         3        0.00        0.00
   194      1         4        0.00        0.00
   194      1         5        0.00        0.00
   194      1         6        0.00        0.00
   194      1         7        0.00        0.00
   194      1         8        0.00        0.00
   194      1         9        0.00        0.00
   194      1        10        0.00        0.00
   194      1        11        0.00        0.00
   194      1        12        0.00        0.00
   194      1        13        0.00        0.00
   194      1        14        0.00        0.00
   194      1        15        0.00        0.00
   194      2         1        0.00        0.00
   194      2         2        0.00        0.00
   194      2         3        0.00        0.00
   194      2         4        0.00        0.00
   194      2         5        0.00        0.00
   194      2         6        0.00        0.00
   194      2         7        0.00        0.00
   194      2         8        0.00        0.00
   194      2         9        0.00        0.00
   194      2        10        0.00        0.00
   194      2        11        0.00        0.00
   194      2        12        0.00        0.00
   194      2        13        0.00        0.00
   194      2        14        0.00        0.00
   194      2        15        0.00        0.00
   194      3         1        0.00        0.00
   194      3         2        0.00        0.00
   194      3         3        0.00        0.00
   194      3         4        0.00        0.00
   194      3         5        0.00        0.00
   194      3         6        0.00        0.00
   194      3         7        0.00        0.00
   194      3         8        0.00        0.00
   194      3         9        0.00        0.00
   194      3        10        0.00        0.00
   194      3        11        0.00        0.00
   194      3        12        0.00        0.00
   194      3        13        0.00        0.00
   194      3        14        0.00        0.00
   194      3        15        0.00        0.00
   194      4         1        0.00        0.00
   194      4         2        0.00        0.00
   194      4         3        0.00        0.00
   194      4         4        0.00        0.00
   194      4         5        0.00        0.00
   194      4         6        0.00        0.00
   194      4         7        0.00        0.00
   194      4         8        0.00        0.00
   194      4         9        0.00        0.00
   194      4        10        0.00        0.00
   194      4        11        0.00        0.00
   194      4        12        0.00        0.00
   194      4        13        0.00        0.00
   194      4        14        0.00        0.00
   194      4        15        0.00        0.00
   194      5         1        0.00        0.00
   194      5         2        0.00        0.00
   194      5         3        0.00        0.00
   194      5         4        0.00        0.00
   194      5         5        0.00        0.00
   194      5         6        0.00        0.00
   194      5         7        0.00        0.00
   194      5         8        0.00        0.00
   194      5         9        0.00        0.00
   194      5        10        0.00        0.00
   194      5        11        0.00        0.00
   194      5        12        0.00        0.00
   194      5        13        0.00        0.00
   194      5        14        0.00        0.00
   194      5        15        0.00        0.00
   194      6         1        0.00        0.00
   194      6         2        0.00        0.00
   194      6         3        0.00        0.00
   194      6         4        0.00        0.00
   194      6         5        0.00        0.00
   194      6         6        0.00        0.00
   194      6         7        0.00        0.00
   194      6         8        0.00        0.00
   194      6         9        0.00        0.00
   194      6        10        0.00        0.00
   194      6        11        0.00        0.00
   194      6        12        0.00        0.00
   194      6        13        0.00        0.00
   194      6        14        0.00        0.00
   194      6        15        0.00        0.00
   194      7         1        0.00        0.00
   194      7         2        0.00        0.00
   194      7         3        0.00        0.00
