 Cycle     Profits
   191   148174.74
   194   194742.88
   197   190491.14
   200   257258.06
   203   376139.63
   206   529868.09
   209   471480.93
   212   559606.64
   215  1117651.45
   218   725080.87
   621   636700.05
   624   531735.37
   627   472467.37
   630   248089.06
   633   270202.16
   636   204456.93
   639   182065.74
   642   119143.40
   645   104934.27
   649   112961.73
  1102   128022.33
  1105    89394.01
  1108   204888.79
  1111   218096.30
  1114   321435.25
  1117   219370.40
  1120   413119.79
  1123   719881.53
  1126   719640.05
  1129   562439.28
  1362   687731.68
  1365   600413.81
  1368   445104.02
  1371   430003.95
  1374   333910.75
  1377   270955.45
  1380   132399.02
  1383   137097.85
  1386   219859.96
  1389   150859.22

  
  
  
  
