 Cycle     Profits
   191   146468.27
   194   194052.17
   197   191072.16
   200   259861.69
   203   376298.77
   206   529868.09
   209   471480.93
   212   559606.64
   215  1117651.45
   218   725080.87
   621   636700.04
   624   531735.37
   627   472467.37
   630   258951.88
   633   270107.61
   636   203341.90
   639   186192.71
   642   119377.44
   645   104701.05
   648        0.00
  1102   127783.04
  1105    89323.86
  1108   203768.62
  1111   213727.77
  1114   321020.58
  1117   228357.51
  1120   413119.79
  1123   719881.53
  1126   719640.05
  1129   562877.60
  1362   688098.43
  1365   600413.81
  1368   444648.56
  1371   428617.73
  1374   331533.36
