 Cycle Period  Scenario   Power Gen   #Turbines
   191      1         1        0.00           0
   191      1         2        0.00           0
   191      1         3        0.00           0
   191      1         4        0.00           0
   191      1         5        0.00           0
   191      1         6        0.00           0
   191      1         7        0.00           0
   191      1         8        0.00           0
   191      1         9        0.00           0
   191      1        10        0.00           0
   191      1        11        0.00           0
   191      1        12        0.00           0
   191      1        13        0.00           0
   191      1        14        0.00           0
   191      1        15        0.00           0
   191      2         1        0.00           0
   191      2         2        0.00           0
   191      2         3        0.00           0
   191      2         4        0.00           0
   191      2         5        0.00           0
   191      2         6        0.00           0
   191      2         7        0.00           0
   191      2         8        0.00           0
   191      2         9        0.00           0
   191      2        10        0.00           0
   191      2        11        0.00           0
   191      2        12        0.00           0
   191      2        13        0.00           0
   191      2        14        0.00           0
   191      2        15        0.00           0
   191      3         1        0.00           0
   191      3         2        0.00           0
   191      3         3        0.00           0
   191      3         4        0.00           0
   191      3         5        0.00           0
   191      3         6        0.00           0
   191      3         7        0.00           0
   191      3         8        0.00           0
   191      3         9        0.00           0
   191      3        10        0.00           0
   191      3        11        0.00           0
   191      3        12        0.00           0
   191      3        13        0.00           0
   191      3        14        0.00           0
   191      3        15        0.00           0
   191      4         1        0.00           0
   191      4         2        0.00           0
   191      4         3        0.00           0
   191      4         4        0.00           0
   191      4         5        0.00           0
   191      4         6        0.00           0
   191      4         7        0.00           0
   191      4         8        0.00           0
   191      4         9        0.00           0
   191      4        10        0.00           0
   191      4        11        0.00           0
   191      4        12        0.00           0
   191      4        13        0.00           0
   191      4        14        0.00           0
   191      4        15        0.00           0
   191      5         1        0.00           0
   191      5         2        0.00           0
   191      5         3        0.00           0
   191      5         4        0.00           0
   191      5         5        0.00           0
   191      5         6        0.00           0
   191      5         7        0.00           0
   191      5         8        0.00           0
   191      5         9        0.00           0
   191      5        10        0.00           0
   191      5        11        0.00           0
   191      5        12        0.00           0
   191      5        13        0.00           0
   191      5        14        0.00           0
   191      5        15        0.00           0
   191      6         1        0.00           0
   191      6         2        0.00           0
   191      6         3        0.00           0
   191      6         4        0.00           0
   191      6         5        0.00           0
   191      6         6        0.00           0
   191      6         7        0.00           0
   191      6         8        0.00           0
   191      6         9        0.00           0
   191      6        10        0.00           0
   191      6        11        0.00           0
   191      6        12        0.00           0
   191      6        13        0.00           0
   191      6        14        0.00           0
   191      6        15        0.00           0
   191      7         1        0.00           0
   191      7         2        0.00           0
   191      7         3        0.00           0
   191      7         4        0.00           0
   191      7         5        0.00           0
   191      7         6        0.00           0
   191      7         7        0.00           0
   191      7         8        0.00           0
   191      7         9        0.00           0
   191      7        10        0.00           0
   191      7        11        0.00           0
   191      7        12        0.00           0
   191      7        13        7.18           1
   191      7        14        0.00           0
   191      7        15        0.00           0
   191      8         1        0.00           0
   191      8         2        0.00           0
   191      8         3        0.00           0
   191      8         4        0.00           0
   191      8         5        0.00           0
   191      8         6        0.00           0
   191      8         7        0.00           0
   191      8         8        0.00           0
   191      8         9        0.00           0
   191      8        10        0.00           0
   191      8        11        0.00           0
   191      8        12        0.00           0
   191      8        13        0.00           0
   191      8        14        0.00           0
   191      8        15        0.00           0
   191      9         1        0.00           0
   191      9         2        0.00           0
   191      9         3        0.00           0
   191      9         4        0.00           0
   191      9         5        0.00           0
   191      9         6        0.00           0
   191      9         7        0.00           0
   191      9         8        0.00           0
   191      9         9        0.00           0
   191      9        10        0.00           0
   191      9        11        0.00           0
   191      9        12       22.02           2
   191      9        13        0.00           0
   191      9        14        0.00           0
   191      9        15       22.02           2
   191     10         1       39.49           2
   191     10         2       39.49           2
   191     10         3       68.04           2
   191     10         4       68.04           2
   191     10         5       68.04           2
   191     10         6       68.04           2
   191     10         7       68.04           2
   191     10         8       68.04           2
   191     10         9       68.04           2
   191     10        10       68.04           2
   191     10        11       68.04           2
   191     10        12       59.02           2
   191     10        13       25.18           1
   191     10        14       68.04           2
   191     10        15       59.02           2
   191     11         1       63.41           2
   191     11         2       63.41           2
   191     11         3       55.07           2
   191     11         4       55.07           2
   191     11         5       55.07           2
   191     11         6       55.07           2
   191     11         7       55.07           2
   191     11         8       55.07           2
   191     11         9       55.07           2
   191     11        10       55.07           2
   191     11        11       55.07           2
   191     11        12       46.28           2
   191     11        13       63.41           2
   191     11        14       55.07           2
   191     11        15       46.28           2
   191     12         1       47.35           2
   191     12         2       47.35           2
   191     12         3       40.77           2
   191     12         4       40.77           2
   191     12         5       40.77           2
   191     12         6       28.54           2
   191     12         7       40.77           2
   191     12         8       40.77           2
   191     12         9       40.77           2
   191     12        10       40.77           2
   191     12        11       40.77           2
   191     12        12       33.85           2
   191     12        13       47.35           2
   191     12        14       28.54           2
   191     12        15       33.85           2
   645      1         1        0.00           0
   645      1         2        0.00           0
   645      1         3        0.00           0
   645      1         4        0.00           0
   645      1         5        0.00           0
   645      1         6        0.00           0
   645      1         7        0.00           0
   645      1         8        0.00           0
   645      1         9        0.00           0
   645      1        10        0.00           0
   645      1        11        0.00           0
   645      1        12        0.00           0
   645      1        13        0.00           0
   645      1        14        0.00           0
   645      1        15        0.00           0
   645      2         1        0.00           0
   645      2         2        0.00           0
   645      2         3        0.00           0
   645      2         4        0.00           0
   645      2         5        0.00           0
   645      2         6        0.00           0
   645      2         7        0.00           0
   645      2         8        0.00           0
   645      2         9        0.00           0
   645      2        10        0.00           0
   645      2        11        0.00           0
   645      2        12        0.00           0
   645      2        13        0.00           0
   645      2        14        0.00           0
   645      2        15        0.00           0
   645      3         1        0.00           0
   645      3         2        0.00           0
   645      3         3        0.00           0
   645      3         4        0.00           0
   645      3         5        0.00           0
   645      3         6        0.00           0
   645      3         7        0.00           0
   645      3         8        0.00           0
   645      3         9        0.00           0
   645      3        10        0.00           0
   645      3        11        0.00           0
   645      3        12        0.00           0
   645      3        13        0.00           0
   645      3        14        0.00           0
   645      3        15        0.00           0
   645      4         1        0.00           0
   645      4         2        0.00           0
   645      4         3        0.00           0
   645      4         4        0.00           0
   645      4         5        0.00           0
   645      4         6        0.00           0
   645      4         7        0.00           0
   645      4         8        0.00           0
   645      4         9        0.00           0
   645      4        10        0.00           0
   645      4        11        0.00           0
   645      4        12        0.00           0
   645      4        13        0.00           0
   645      4        14        0.00           0
   645      4        15        0.00           0
   645      5         1        0.00           0
   645      5         2        0.00           0
   645      5         3        0.00           0
   645      5         4        0.00           0
   645      5         5        0.00           0
   645      5         6        0.00           0
   645      5         7        0.00           0
   645      5         8        0.00           0
   645      5         9        0.00           0
   645      5        10        0.00           0
   645      5        11        0.00           0
   645      5        12        0.00           0
   645      5        13        0.00           0
   645      5        14        0.00           0
   645      5        15        0.00           0
   645      6         1        0.00           0
   645      6         2        0.00           0
   645      6         3        0.00           0
   645      6         4        0.00           0
   645      6         5        0.00           0
   645      6         6        0.00           0
   645      6         7        0.00           0
   645      6         8        0.00           0
   645      6         9        0.00           0
   645      6        10        0.00           0
   645      6        11        0.00           0
   645      6        12       -0.00           0
   645      6        13        0.00           0
   645      6        14        0.00           0
   645      6        15        0.00           0
   645      7         1        0.00           0
   645      7         2        0.00           0
   645      7         3        0.00           0
   645      7         4        0.00           0
   645      7         5        0.00           0
   645      7         6        0.00           0
   645      7         7        0.00           0
   645      7         8        0.00           0
   645      7         9        0.00           0
   645      7        10        0.00           0
   645      7        11        0.00           0
   645      7        12        0.00           0
   645      7        13        0.00           0
   645      7        14        0.00           0
   645      7        15        0.00           0
   645      8         1        0.00           0
   645      8         2        0.00           0
   645      8         3        0.00           0
   645      8         4        0.00           0
   645      8         5        0.00           0
   645      8         6        0.00           0
   645      8         7        0.00           0
   645      8         8        8.86           1
   645      8         9        0.00           0
   645      8        10        0.00           0
   645      8        11        0.00           0
   645      8        12        0.00           0
   645      8        13        0.00           0
   645      8        14        0.00           0
   645      8        15        8.86           1
   645      9         1       21.37           2
   645      9         2       21.37           2
   645      9         3        0.00           0
   645      9         4        0.00           0
   645      9         5        0.00           0
   645      9         6       10.69           1
   645      9         7        0.00           0
   645      9         8        9.90           1
   645      9         9        0.00           0
   645      9        10        0.00           0
   645      9        11        0.00           0
   645      9        12       10.69           1
   645      9        13       10.69           1
   645      9        14       10.69           1
   645      9        15        0.00           0
   645     10         1       56.82           2
   645     10         2       56.82           2
   645     10         3       66.13           2
   645     10         4        0.00           0
   645     10         5       33.07           1
   645     10         6       61.68           2
   645     10         7       66.13           2
   645     10         8       56.82           2
   645     10         9       45.40           2
   645     10        10       66.13           2
   645     10        11       66.13           2
   645     10        12       61.68           2
   645     10        13       61.68           2
   645     10        14       61.68           2
   645     10        15       61.68           2
   645     11         1       44.48           2
   645     11         2       44.48           2
   645     11         3       52.81           2
   645     11         4       57.25           2
   645     11         5       43.82           2
   645     11         6       48.31           2
   645     11         7       52.81           2
   645     11         8       44.48           2
   645     11         9       59.03           2
   645     11        10       52.81           2
   645     11        11       52.81           2
   645     11        12       48.31           2
   645     11        13       48.31           2
   645     11        14       48.31           2
   645     11        15       33.53           2
   645     12         1       23.07           2
   645     12         2       32.52           2
   645     12         3       39.08           2
   645     12         4       63.41           2
   645     12         5       54.16           2
   645     12         6       35.54           2
   645     12         7       39.08           2
   645     12         8       32.52           2
   645     12         9       43.99           2
   645     12        10       39.08           2
   645     12        11       39.08           2
   645     12        12       35.54           2
   645     12        13       35.54           2
   645     12        14       35.54           2
   645     12        15       40.17           2
  1108      1         1        0.00           0
  1108      1         2        0.00           0
  1108      1         3        0.00           0
  1108      1         4        0.00           0
  1108      1         5        0.00           0
  1108      1         6        0.00           0
  1108      1         7        0.00           0
  1108      1         8        0.00           0
  1108      1         9        0.00           0
  1108      1        10        0.00           0
  1108      1        11        0.00           0
  1108      1        12        0.00           0
  1108      1        13        0.00           0
  1108      1        14        0.00           0
  1108      1        15        0.00           0
  1108      2         1        0.00           0
  1108      2         2        0.00           0
  1108      2         3        0.00           0
  1108      2         4        0.00           0
  1108      2         5        0.00           0
  1108      2         6        0.00           0
  1108      2         7        0.00           0
  1108      2         8        0.00           0
  1108      2         9        0.00           0
  1108      2        10        0.00           0
  1108      2        11        0.00           0
  1108      2        12        0.00           0
  1108      2        13        0.00           0
  1108      2        14        0.00           0
  1108      2        15        0.00           0
  1108      3         1        0.00           0
  1108      3         2        0.00           0
  1108      3         3        0.00           0
  1108      3         4        0.00           0
  1108      3         5        0.00           0
  1108      3         6        0.00           0
  1108      3         7        0.00           0
  1108      3         8        0.00           0
  1108      3         9        0.00           0
  1108      3        10        0.00           0
  1108      3        11        0.00           0
  1108      3        12        0.00           0
  1108      3        13        0.00           0
  1108      3        14        0.00           0
  1108      3        15        0.00           0
  1108      4         1        0.00           0
  1108      4         2        0.00           0
  1108      4         3        0.00           0
  1108      4         4        0.00           0
  1108      4         5        0.00           0
  1108      4         6        0.00           0
  1108      4         7        0.00           0
  1108      4         8        0.00           0
  1108      4         9        0.00           0
  1108      4        10        0.00           0
  1108      4        11        0.00           0
  1108      4        12        0.00           0
  1108      4        13        0.00           0
  1108      4        14        0.00           0
  1108      4        15        0.00           0
  1108      5         1        0.00           0
  1108      5         2        0.00           0
  1108      5         3        0.00           0
  1108      5         4        0.00           0
  1108      5         5        0.00           0
  1108      5         6        0.00           0
  1108      5         7        0.00           0
  1108      5         8        0.00           0
  1108      5         9        0.00           0
  1108      5        10        0.00           0
  1108      5        11        0.00           0
  1108      5        12        0.00           0
  1108      5        13        0.00           0
  1108      5        14        0.00           0
  1108      5        15        0.00           0
  1108      6         1        0.00           0
  1108      6         2        0.00           0
  1108      6         3        0.00           0
  1108      6         4        0.00           0
  1108      6         5        0.00           0
  1108      6         6        0.00           0
  1108      6         7        0.00           0
  1108      6         8        0.00           0
  1108      6         9        0.00           0
  1108      6        10        0.00           0
  1108      6        11        0.00           0
  1108      6        12        0.00           0
  1108      6        13        0.00           0
  1108      6        14        0.00           0
  1108      6        15        0.00           0
  1108      7         1        0.00           0
  1108      7         2        0.00 2.84217e-13
  1108      7         3        0.00           0
  1108      7         4        0.00           0
