 Cycle Period  Scenario      SoldDA      SoldRT
   191      1         1        0.00        0.00
   191      1         2        0.00        0.00
   191      1         3        0.00        0.00
   191      1         4        0.00        0.00
   191      1         5        0.00        0.00
   191      1         6        0.00        0.00
   191      1         7        0.00        0.00
   191      1         8        0.00        0.00
   191      1         9        0.00        0.00
   191      1        10        0.00        0.00
   191      1        11        0.00        0.00
   191      1        12        0.00        0.00
   191      1        13        0.00        0.00
   191      1        14        0.00        0.00
   191      1        15        0.00        0.00
   191      2         1        0.00        0.00
   191      2         2        0.00        0.00
   191      2         3        0.00        0.00
   191      2         4        0.00        0.00
   191      2         5        0.00        0.00
   191      2         6        0.00        0.00
   191      2         7        0.00        0.00
   191      2         8        0.00        0.00
   191      2         9        0.00        0.00
   191      2        10        0.00        0.00
   191      2        11        0.00        0.00
   191      2        12        0.00        0.00
   191      2        13        0.00        0.00
   191      2        14        0.00        0.00
   191      2        15        0.00        0.00
   191      3         1        0.00        0.00
   191      3         2        0.00        0.00
   191      3         3        0.00        0.00
   191      3         4        0.00        0.00
   191      3         5        0.00        0.00
   191      3         6        0.00        0.00
   191      3         7        0.00        0.00
   191      3         8        0.00        0.00
   191      3         9        0.00        0.00
   191      3        10        0.00        0.00
   191      3        11        0.00        0.00
   191      3        12        0.00        0.00
   191      3        13        0.00        0.00
   191      3        14        0.00        0.00
   191      3        15        0.00        0.00
   191      4         1        0.00        0.00
   191      4         2        0.00        0.00
   191      4         3        0.00        0.00
   191      4         4        0.00        0.00
   191      4         5        0.00        0.00
   191      4         6        0.00        0.00
   191      4         7        0.00        0.00
   191      4         8        0.00        0.00
   191      4         9        0.00        0.00
   191      4        10        0.00        0.00
   191      4        11        0.00        0.00
   191      4        12        0.00        0.00
   191      4        13        0.00        0.00
   191      4        14        0.00        0.00
   191      4        15        0.00        0.00
   191      5         1        0.00        0.00
   191      5         2        0.00        0.00
   191      5         3        0.00        0.00
   191      5         4        0.00        0.00
   191      5         5        0.00        0.00
   191      5         6        0.00        0.00
   191      5         7        0.00        0.00
   191      5         8        0.00        0.00
   191      5         9        0.00        0.00
   191      5        10        0.00        0.00
   191      5        11        0.00        0.00
   191      5        12        0.00        0.00
   191      5        13        0.00        0.00
   191      5        14        0.00        0.00
   191      5        15        0.00        0.00
   191      6         1        0.00        0.00
   191      6         2        0.00        0.00
   191      6         3        0.00        0.00
   191      6         4        0.00        0.00
   191      6         5        0.00        0.00
   191      6         6        0.00        0.00
   191      6         7        0.00        0.00
   191      6         8        0.00        0.00
   191      6         9        0.00        0.00
   191      6        10        0.00        0.00
   191      6        11        0.00        0.00
   191      6        12        0.00        0.00
   191      6        13        0.00        0.00
   191      6        14        0.00        0.00
   191      6        15        0.00        0.00
   191      7         1        0.00        0.00
   191      7         2        0.00        0.00
   191      7         3        0.00        0.00
   191      7         4        0.00        0.00
   191      7         5        0.00        0.00
   191      7         6        0.00        0.00
   191      7         7        0.00        0.00
   191      7         8        0.00        0.00
   191      7         9        0.00        0.00
   191      7        10        0.00        0.00
   191      7        11        0.00        0.00
   191      7        12        0.00        0.00
   191      7        13        0.00        3.59
   191      7        14        0.00        0.00
   191      7        15        0.00        0.00
   191      8         1        0.00        0.00
   191      8         2        0.00        0.00
   191      8         3        0.00        0.00
   191      8         4        0.00        0.00
   191      8         5        0.00        0.00
   191      8         6        0.00        0.00
   191      8         7        0.00        0.00
   191      8         8        0.00        0.00
   191      8         9        0.00        0.00
   191      8        10        0.00        0.00
   191      8        11        0.00        0.00
   191      8        12        0.00        0.00
   191      8        13        0.00        0.00
   191      8        14        0.00        0.00
   191      8        15        0.00        0.00
   191      9         1        0.00        0.00
   191      9         2        0.00        0.00
   191      9         3        0.00        0.00
   191      9         4        0.00        0.00
   191      9         5        0.00        0.00
   191      9         6        0.00        0.00
   191      9         7        0.00        0.00
   191      9         8        0.00        0.00
   191      9         9        0.00        0.00
   191      9        10        0.00        0.00
   191      9        11        0.00        0.00
   191      9        12        0.00       11.01
   191      9        13        0.00        0.00
   191      9        14        0.00        0.00
   191      9        15        0.00       11.01
   191     10         1       19.75        0.00
   191     10         2       16.85        2.90
   191     10         3        0.25       33.77
   191     10         4        0.00       34.02
   191     10         5        0.83       33.19
   191     10         6        0.00       34.02
   191     10         7        3.48       30.54
   191     10         8        0.00       34.02
   191     10         9        0.00       34.02
   191     10        10        0.00       34.02
   191     10        11        0.00       34.02
   191     10        12        0.00       29.51
   191     10        13        0.00       12.59
   191     10        14        0.00       34.02
   191     10        15        0.00       29.51
   191     11         1       31.70        0.00
   191     11         2       15.52       16.19
   191     11         3        0.00       27.53
   191     11         4        0.00       27.53
   191     11         5        0.00       27.53
   191     11         6        0.00       27.53
   191     11         7        4.63       22.91
   191     11         8        0.00       27.53
   191     11         9        0.00       27.53
   191     11        10        0.00       27.53
   191     11        11        0.00       27.53
   191     11        12        0.00       23.14
   191     11        13        0.00       31.70
   191     11        14        0.00       27.53
   191     11        15        0.00       23.14
   191     12         1       23.67        0.00
   191     12         2       11.59       12.09
   191     12         3        0.00       20.39
   191     12         4        0.00       20.39
   191     12         5        0.00       20.39
   191     12         6        0.00       14.27
   191     12         7        3.45       16.93
   191     12         8        0.00       20.39
   191     12         9        0.00       20.39
   191     12        10        0.00       20.39
   191     12        11        0.00       20.39
   191     12        12        0.00       16.92
   191     12        13        0.00       23.67
   191     12        14        0.00       14.27
   191     12        15        0.00       16.92
   645      1         1        0.00        0.00
   645      1         2        0.00        0.00
   645      1         3        0.00        0.00
   645      1         4        0.00        0.00
   645      1         5        0.00        0.00
   645      1         6        0.00        0.00
   645      1         7        0.00        0.00
   645      1         8        0.00        0.00
   645      1         9        0.00        0.00
   645      1        10        0.00        0.00
   645      1        11        0.00        0.00
   645      1        12        0.00        0.00
   645      1        13        0.00        0.00
   645      1        14        0.00        0.00
   645      1        15        0.00        0.00
   645      2         1        0.00        0.00
   645      2         2        0.00        0.00
   645      2         3        0.00        0.00
   645      2         4        0.00        0.00
   645      2         5        0.00        0.00
   645      2         6        0.00        0.00
   645      2         7        0.00        0.00
   645      2         8        0.00        0.00
   645      2         9        0.00        0.00
   645      2        10        0.00        0.00
   645      2        11        0.00        0.00
   645      2        12        0.00        0.00
   645      2        13        0.00        0.00
   645      2        14        0.00        0.00
   645      2        15        0.00        0.00
   645      3         1        0.00        0.00
   645      3         2        0.00        0.00
   645      3         3        0.00        0.00
   645      3         4        0.00        0.00
   645      3         5        0.00        0.00
   645      3         6        0.00        0.00
   645      3         7        0.00        0.00
   645      3         8        0.00        0.00
   645      3         9        0.00        0.00
   645      3        10        0.00        0.00
   645      3        11        0.00        0.00
   645      3        12        0.00        0.00
   645      3        13        0.00        0.00
   645      3        14        0.00        0.00
   645      3        15        0.00        0.00
   645      4         1        0.00        0.00
   645      4         2        0.00        0.00
   645      4         3        0.00        0.00
   645      4         4        0.00        0.00
   645      4         5        0.00        0.00
   645      4         6        0.00        0.00
   645      4         7        0.00        0.00
   645      4         8        0.00        0.00
   645      4         9        0.00        0.00
   645      4        10        0.00        0.00
   645      4        11        0.00        0.00
   645      4        12        0.00        0.00
   645      4        13        0.00        0.00
   645      4        14        0.00        0.00
   645      4        15        0.00        0.00
   645      5         1        0.00        0.00
   645      5         2        0.00        0.00
   645      5         3        0.00        0.00
   645      5         4        0.00        0.00
   645      5         5        0.00        0.00
   645      5         6        0.00        0.00
   645      5         7        0.00        0.00
   645      5         8        0.00        0.00
   645      5         9        0.00        0.00
   645      5        10        0.00        0.00
   645      5        11        0.00        0.00
   645      5        12        0.00        0.00
   645      5        13        0.00        0.00
   645      5        14        0.00        0.00
   645      5        15        0.00        0.00
   645      6         1        0.00        0.00
   645      6         2        0.00        0.00
   645      6         3        0.00        0.00
   645      6         4        0.00        0.00
   645      6         5        0.00        0.00
   645      6         6        0.00        0.00
   645      6         7        0.00        0.00
   645      6         8        0.00        0.00
   645      6         9        0.00        0.00
   645      6        10        0.00        0.00
   645      6        11        0.00        0.00
   645      6        12        0.00       -0.00
   645      6        13        0.00        0.00
   645      6        14        0.00        0.00
   645      6        15        0.00        0.00
   645      7         1        0.00        0.00
   645      7         2        0.00        0.00
   645      7         3        0.00        0.00
