 Cycle Period  Scenario   Power Gen   #Turbines
   191      1         1        0.00           0
   191      1         2        0.00           0
   191      1         3        0.00           0
   191      1         4        0.00           0
   191      1         5        0.00           0
   191      1         6        0.00           0
   191      1         7        0.00           0
   191      1         8        0.00           0
   191      1         9        0.00           0
   191      1        10        0.00           0
   191      1        11        0.00           0
   191      1        12        0.00           0
   191      1        13        0.00           0
   191      1        14        0.00           0
   191      1        15        0.00           0
   191      2         1        0.00           0
   191      2         2        0.00           0
   191      2         3        0.00           0
   191      2         4        0.00           0
   191      2         5        0.00           0
   191      2         6        0.00           0
   191      2         7        0.00           0
   191      2         8        0.00           0
   191      2         9        0.00           0
   191      2        10        0.00           0
   191      2        11        0.00           0
   191      2        12        0.00           0
   191      2        13        0.00           0
   191      2        14        0.00           0
   191      2        15        0.00           0
   191      3         1        0.00           0
   191      3         2        0.00           0
   191      3         3        0.00           0
   191      3         4        0.00           0
   191      3         5        0.00           0
   191      3         6        0.00           0
   191      3         7        0.00           0
   191      3         8        0.00           0
   191      3         9        0.00           0
   191      3        10        0.00           0
   191      3        11        0.00           0
   191      3        12        0.00           0
   191      3        13        0.00           0
   191      3        14        0.00           0
   191      3        15        0.00           0
   191      4         1        0.00           0
   191      4         2        0.00           0
   191      4         3        0.00           0
   191      4         4        0.00           0
   191      4         5        0.00           0
   191      4         6        0.00           0
   191      4         7        0.00           0
   191      4         8        0.00           0
   191      4         9        0.00           0
   191      4        10        0.00           0
   191      4        11        0.00           0
   191      4        12        0.00           0
   191      4        13        0.00           0
   191      4        14        0.00           0
   191      4        15        0.00           0
   191      5         1        0.00           0
   191      5         2        0.00           0
   191      5         3        0.00           0
   191      5         4        0.00           0
   191      5         5        0.00           0
   191      5         6        0.00           0
   191      5         7        0.00           0
   191      5         8        0.00           0
   191      5         9        0.00           0
   191      5        10        0.00           0
   191      5        11        0.00           0
   191      5        12        0.00           0
   191      5        13        0.00           0
   191      5        14        0.00           0
   191      5        15        0.00           0
   191      6         1        0.00           0
   191      6         2        0.00           0
   191      6         3        0.00           0
   191      6         4        0.00           0
   191      6         5        0.00           0
   191      6         6        0.00           0
   191      6         7        0.00           0
   191      6         8        0.00           0
   191      6         9        0.00           0
   191      6        10        0.00           0
   191      6        11        0.00           0
   191      6        12        0.00           0
   191      6        13        0.00           0
   191      6        14        0.00           0
   191      6        15        0.00           0
   191      7         1        0.00           0
   191      7         2        0.00           0
   191      7         3        0.00           0
   191      7         4        7.18           1
   191      7         5        0.00           0
   191      7         6        0.00           0
   191      7         7        0.00           0
   191      7         8        7.18           1
   191      7         9        0.00           0
   191      7        10        7.18           1
   191      7        11        0.00           0
   191      7        12        0.00           0
   191      7        13        0.00           0
   191      7        14        0.00           0
   191      7        15        0.00           0
   191      8         1       18.27           2
   191      8         2        9.14           1
   191      8         3        0.00           0
   191      8         4        8.35           1
   191      8         5        0.00           0
   191      8         6        0.00           0
   191      8         7       18.27           2
   191      8         8        8.35           1
   191      8         9        0.00           0
   191      8        10        0.00           0
   191      8        11        9.14           1
   191      8        12       18.27           2
   191      8        13        9.14           1
   191      8        14        0.00           0
   191      8        15        9.14           1
   191      9         1       18.87           2
   191      9         2       10.22           1
   191      9         3       22.02           2
   191      9         4        9.43           1
   191      9         5       22.02           2
   191      9         6       22.02           2
   191      9         7       18.87           2
   191      9         8        9.43           1
   191      9         9       22.02           2
   191      9        10       10.22           1
   191      9        11       10.22           1
   191      9        12        9.43           1
   191      9        13       10.22           1
   191      9        14       11.01           1
   191      9        15        0.00           0
   191     10         1       24.65           1
   191     10         2       59.02           2
   191     10         3       59.02           2
   191     10         4       37.40           2
   191     10         5       59.02           2
   191     10         6       59.02           2
   191     10         7       34.19           2
   191     10         8       54.16           2
   191     10         9       59.02           2
   191     10        10       59.02           2
   191     10        11       59.02           2
   191     10        12       54.16           2
   191     10        13       59.02           2
   191     10        14       63.81           2
   191     10        15       63.81           2
   191     11         1       48.21           2
   191     11         2       46.28           2
   191     11         3       46.28           2
   191     11         4       33.13           2
   191     11         5       46.28           2
   191     11         6       32.19           2
   191     11         7       30.25           2
   191     11         8       29.65           2
   191     11         9       18.09           2
   191     11        10       46.28           2
   191     11        11       32.19           2
   191     11        12       42.45           2
   191     11        13       23.14           1
   191     11        14        9.69           1
   191     11        15       50.21           2
   191     12         1       35.37           2
   191     12         2       33.85           2
   191     12         3       33.85           2
   191     12         4       27.72           2
   191     12         5       33.85           2
   191     12         6       26.88           2
   191     12         7       35.65           2
   191     12         8       34.84           2
   191     12         9       42.68           2
   191     12        10       14.06           2
   191     12        11       26.88           2
   191     12        12       30.83           2
   191     12        13       43.12           2
   191     12        14       51.47           2
   191     12        15       26.00           2
   191     13         1       22.45           2
   191     13         2       21.25           2
   191     13         3       21.25           2
   191     13         4       29.44           2
   191     13         5        9.97           2
   191     13         6       28.30           2
   191     13         7       22.67           2
   191     13         8       22.03           2
   191     13         9       28.22           2
   191     13        10       27.45           2
   191     13        11       28.30           2
   191     13        12       14.03           2
   191     13        13       28.56           2
   191     13        14       35.14           2
   191     13        15       27.12           2
   203      1         1        0.00           0
   203      1         2        0.00           0
   203      1         3        0.00           0
   203      1         4        0.00           0
   203      1         5        0.00           0
   203      1         6        0.00           0
   203      1         7        0.00           0
   203      1         8        0.00           0
   203      1         9        0.00           0
   203      1        10        0.00           0
   203      1        11        0.00           0
   203      1        12        0.00           0
   203      1        13        0.00           0
   203      1        14        0.00           0
   203      1        15        0.00           0
   203      2         1        0.00           0
   203      2         2        0.00           0
   203      2         3        0.00           0
   203      2         4        0.00           0
   203      2         5        0.00           0
   203      2         6        0.00           0
   203      2         7        0.00           0
   203      2         8        0.00           0
   203      2         9        0.00           0
   203      2        10        0.00           0
   203      2        11        0.00           0
   203      2        12        0.00           0
   203      2        13        0.00           0
   203      2        14        0.00           0
   203      2        15        0.00           0
   203      3         1        0.00           0
   203      3         2        0.00           0
   203      3         3        0.00           0
   203      3         4        0.00           0
   203      3         5        0.00           0
   203      3         6        0.00           0
   203      3         7        0.00           0
   203      3         8        0.00           0
   203      3         9        0.00           0
   203      3        10        0.00           0
   203      3        11        0.00           0
   203      3        12        0.00           0
   203      3        13        0.00           0
   203      3        14        0.00           0
   203      3        15        0.00           0
   203      4         1        0.00           0
   203      4         2        0.00           0
   203      4         3        0.00           0
   203      4         4        0.00           0
   203      4         5        0.00           0
   203      4         6        0.00           0
   203      4         7        0.00           0
   203      4         8        0.00           0
   203      4         9        0.00           0
   203      4        10        0.00           0
   203      4        11        0.00           0
   203      4        12        0.00           0
   203      4        13        0.00           0
   203      4        14        0.00           0
   203      4        15        0.00           0
   203      5         1        0.00           0
   203      5         2        0.00           0
   203      5         3        0.00           0
   203      5         4        0.00           0
   203      5         5        0.00           0
   203      5         6        0.00           0
   203      5         7        0.00           0
   203      5         8        0.00           0
   203      5         9        0.00           0
   203      5        10        0.00           0
   203      5        11        0.00           0
   203      5        12        0.00           0
   203      5        13        0.00           0
   203      5        14        0.00           0
   203      5        15        0.00           0
   203      6         1        0.00           0
   203      6         2        0.00           0
   203      6         3        0.00           0
   203      6         4        0.00           0
   203      6         5        0.00           0
   203      6         6        0.00           0
   203      6         7        0.00           0
   203      6         8        0.00           0
   203      6         9        0.00           0
   203      6        10        0.00           0
   203      6        11        0.00           0
   203      6        12        0.00           0
   203      6        13        0.00           0
   203      6        14        0.00           0
   203      6        15        0.00           0
   203      7         1        0.00           0
   203      7         2       13.59           1
   203      7         3        0.00           0
   203      7         4        0.00           0
   203      7         5       26.07           1
   203      7         6        0.00           0
   203      7         7        0.00           0
   203      7         8        0.00           0
   203      7         9        0.00           0
   203      7        10        0.00           0
   203      7        11        0.00           0
   203      7        12       13.59           1
   203      7        13        0.00           0
   203      7        14        0.00           0
   203      7        15       13.59           1
   203      8         1       92.49           2
   203      8         2       41.24           1
   203      8         3        0.00           0
   203      8         4        0.00           0
   203      8         5       15.91           1
   203      8         6        0.00           0
   203      8         7        0.00           0
   203      8         8        0.00           0
   203      8         9        0.00           0
   203      8        10        0.00           0
   203      8        11        0.00           0
   203      8        12        0.00           0
   203      8        13        0.00           0
   203      8        14       17.25           1
   203      8        15       41.24           1
   203      9         1       25.53           1
   203      9         2       18.30           1
   203      9         3      111.18           2
   203      9         4      111.18           2
   203      9         5       63.74           2
   203      9         6      111.18           2
   203      9         7      111.18           2
   203      9         8      111.18           2
   203      9         9      111.18           2
   203      9        10      111.18           2
   203      9        11      111.18           2
   203      9        12       71.67           2
   203      9        13      111.18           2
   203      9        14      103.43           2
   203      9        15       43.60           1
   203     10         1      102.86           2
   203     10         2      110.38           2
   203     10         3      108.40           2
   203     10         4      108.40           2
   203     10         5      103.70           2
   203     10         6      108.40           2
   203     10         7      108.40           2
   203     10         8      108.40           2
   203     10         9      108.40           2
   203     10        10      108.40           2
   203     10        11      108.40           2
   203     10        12      110.07           2
   203     10        13      108.40           2
   203     10        14      105.13           2
   203     10        15      106.44           2
   203     11         1       96.81           2
   203     11         2      104.33           2
   203     11         3      102.35           2
   203     11         4      102.35           2
   203     11         5       97.64           2
   203     11         6      102.35           2
   203     11         7      102.35           2
   203     11         8      102.35           2
   203     11         9      102.35           2
   203     11        10      102.35           2
   203     11        11      102.35           2
   203     11        12      104.02           2
   203     11        13      102.35           2
   203     11        14       99.08           2
   203     11        15      100.39           2
   203     12         1       86.60           2
   203     12         2       94.11           2
   203     12         3       92.13           2
   203     12         4       92.13           2
   203     12         5       87.43           2
   203     12         6       92.13           2
   203     12         7       92.13           2
   203     12         8       92.13           2
   203     12         9       92.13           2
   203     12        10       92.13           2
   203     12        11       92.13           2
   203     12        12       93.80           2
   203     12        13       92.13           2
   203     12        14       88.86           2
   203     12        15       90.18           2
   215      1         1        0.00           0
   215      1         2        0.00           0
   215      1         3        0.00           0
   215      1         4        0.00           0
   215      1         5        0.00           0
   215      1         6        0.00           0
   215      1         7        0.00           0
   215      1         8        0.00           0
   215      1         9        0.00           0
   215      1        10        0.00           0
   215      1        11        0.00           0
   215      1        12        0.00           0
   215      1        13        0.00           0
   215      1        14        0.00           0
   215      1        15        0.00           0
   215      2         1        0.00           0
   215      2         2        0.00           0
   215      2         3        0.00           0
   215      2         4        0.00           0
   215      2         5        0.00           0
   215      2         6        0.00           0
   215      2         7        0.00           0
   215      2         8        0.00           0
   215      2         9        0.00           0
   215      2        10        0.00           0
   215      2        11        0.00           0
   215      2        12        0.00           0
   215      2        13        0.00           0
   215      2        14        0.00           0
   215      2        15        0.00           0
   215      3         1        0.00           0
   215      3         2        0.00           0
   215      3         3        0.00           0
   215      3         4        0.00           0
   215      3         5        0.00           0
   215      3         6        0.00           0
   215      3         7        0.00           0
   215      3         8        0.00           0
   215      3         9        0.00           0
   215      3        10        0.00           0
   215      3        11        0.00           0
   215      3        12        0.00           0
   215      3        13        0.00           0
   215      3        14        0.00           0
   215      3        15        0.00           0
   215      4         1        0.00           0
   215      4         2        0.00           0
   215      4         3        0.00           0
   215      4         4        0.00           0
   215      4         5        0.00           0
   215      4         6        0.00           0
   215      4         7        0.00           0
   215      4         8        0.00           0
   215      4         9        0.00           0
   215      4        10        0.00           0
   215      4        11        0.00           0
   215      4        12        0.00           0
   215      4        13        0.00           0
   215      4        14        0.00           0
   215      4        15        0.00           0
   215      5         1        0.00           0
   215      5         2        0.00           0
   215      5         3        0.00           0
   215      5         4        0.00           0
   215      5         5        0.00           0
   215      5         6        0.00           0
   215      5         7        0.00           0
   215      5         8        0.00           0
   215      5         9        0.00           0
   215      5        10        0.00           0
   215      5        11        0.00           0
   215      5        12        0.00           0
   215      5        13        0.00           0
   215      5        14        0.00           0
   215      5        15        0.00           0
   215      6         1        0.00           0
   215      6         2        0.00           0
   215      6         3        0.00           0
   215      6         4        0.00           0
   215      6         5        0.00           0
   215      6         6        0.00           0
   215      6         7        0.00           0
   215      6         8        0.00           0
   215      6         9        0.00           0
   215      6        10        0.00           0
   215      6        11        0.00           0
   215      6        12        0.00           0
