 Cycle Period  Scenario      SoldDA      SoldRT
   191      1         1        0.00        0.00
   191      1         2        0.00        0.00
   191      1         3        0.00        0.00
   191      1         4        0.00        0.00
   191      1         5        0.00        0.00
   191      1         6        0.00        0.00
   191      1         7        0.00        0.00
   191      1         8        0.00        0.00
   191      1         9        0.00        0.00
   191      1        10        0.00        0.00
   191      2         1        0.00        0.00
   191      2         2        0.00        0.00
   191      2         3        0.00        0.00
   191      2         4        0.00        0.00
   191      2         5        0.00        0.00
   191      2         6        0.00        0.00
   191      2         7        0.00        0.00
   191      2         8        0.00        0.00
   191      2         9        0.00        0.00
   191      2        10        0.00        0.00
   191      3         1        0.00        0.00
   191      3         2        0.00        0.00
   191      3         3        0.00        0.00
   191      3         4        0.00        0.00
   191      3         5        0.00        0.00
   191      3         6        0.00        0.00
   191      3         7        0.00        0.00
   191      3         8        0.00        0.00
   191      3         9        0.00        0.00
   191      3        10        0.00        0.00
   191      4         1        0.00        0.00
   191      4         2        0.00        0.00
   191      4         3        0.00        0.00
   191      4         4        0.00        0.00
   191      4         5        0.00        0.00
   191      4         6        0.00        0.00
   191      4         7        0.00        0.00
   191      4         8        0.00        0.00
   191      4         9        0.00        0.00
   191      4        10        0.00        0.00
   191      5         1        0.00        0.00
   191      5         2        0.00        0.00
   191      5         3        0.00        0.00
   191      5         4        0.00        0.00
   191      5         5        0.00        0.00
   191      5         6        0.00        0.00
   191      5         7        0.00        0.00
   191      5         8        0.00        0.00
   191      5         9        0.00        0.00
   191      5        10        0.00        0.00
   191      6         1        0.00        0.00
   191      6         2        0.00        0.00
   191      6         3        0.00        0.00
   191      6         4        0.00        0.00
   191      6         5        0.00        0.00
   191      6         6        0.00        0.00
   191      6         7        0.00        0.00
   191      6         8        0.00        0.00
   191      6         9        0.00        0.00
   191      6        10        0.00        0.00
   191      7         1        0.00        0.00
   191      7         2        0.00        0.00
   191      7         3        0.00        0.00
   191      7         4        0.00        0.00
   191      7         5        0.00        0.00
   191      7         6        0.00        0.00
   191      7         7        0.00        0.00
   191      7         8        0.00        0.00
   191      7         9        0.00        0.00
   191      7        10        0.00        0.00
   191      8         1        0.00        9.14
   191      8         2        0.00        0.00
   191      8         3        0.00        0.00
   191      8         4        0.00        4.57
   191      8         5        0.00        0.00
   191      8         6        0.00        0.00
   191      8         7        0.00        9.14
   191      8         8        0.00        4.57
   191      8         9        0.00        4.57
   191      8        10        0.00        0.00
   191      9         1        4.49        4.94
   191      9         2        0.00        0.00
   191      9         3        5.23        5.78
   191      9         4        0.00       10.22
   191      9         5        0.00       11.01
   191      9         6        2.86        2.65
   191      9         7        1.71        7.72
   191      9         8        5.11        0.00
   191      9         9        0.00       10.22
   191      9        10        0.00       11.01
   191     10         1       23.59        1.06
   191     10         2        0.00        0.00
   191     10         3       20.78        8.72
   191     10         4        0.00       27.08
   191     10         5        0.00       29.51
   191     10         6       22.40        9.51
   191     10         7        6.82       10.28
   191     10         8       20.31        0.00
   191     10         9        0.00       27.08
   191     10        10       20.31        0.00
   191     11         1        0.00       19.31
   191     11         2        0.00       37.72
   191     11         3        0.00        9.05
   191     11         4        0.00       21.22
   191     11         5        0.00       23.14
   191     11         6        0.00       25.10
   191     11         7        0.00       15.12
   191     11         8        0.00       26.02
   191     11         9        0.00       21.22
   191     11        10        0.00       26.02
   191     12         1        3.25       10.66
   191     12         2        0.00       30.59
   191     12         3        0.00       14.90
   191     12         4        0.00       15.41
   191     12         5        0.00       16.92
   191     12         6       18.47        0.00
   191     12         7        0.00       12.57
   191     12         8        0.00       19.20
   191     12         9        0.00       15.41
   191     12        10       17.69        1.51
   191     13         1        0.00        8.25
   191     13         2        0.00       21.40
   191     13         3        0.00       16.13
   191     13         4        0.00        9.44
   191     13         5        0.00       10.63
   191     13         6        0.00       11.85
   191     13         7        0.00       12.98
   191     13         8        0.00        5.57
   191     13         9        0.00        9.44
   191     13        10        0.00       12.42
   203      1         1        0.00        0.00
   203      1         2        0.00        0.00
   203      1         3        0.00        0.00
   203      1         4        0.00        0.00
   203      1         5        0.00        0.00
   203      1         6        0.00        0.00
   203      1         7        0.00        0.00
   203      1         8        0.00        0.00
   203      1         9        0.00        0.00
   203      1        10        0.00        0.00
   203      2         1        0.00        0.00
   203      2         2        0.00        0.00
   203      2         3        0.00        0.00
   203      2         4        0.00        0.00
   203      2         5        0.00        0.00
   203      2         6        0.00        0.00
   203      2         7        0.00        0.00
   203      2         8        0.00        0.00
   203      2         9        0.00        0.00
   203      2        10        0.00        0.00
   203      3         1        0.00        0.00
   203      3         2        0.00        0.00
   203      3         3        0.00        0.00
   203      3         4        0.00        0.00
   203      3         5        0.00        0.00
   203      3         6        0.00        0.00
   203      3         7        0.00        0.00
   203      3         8        0.00        0.00
   203      3         9        0.00        0.00
   203      3        10        0.00        0.00
   203      4         1        0.00        0.00
   203      4         2        0.00        0.00
   203      4         3        0.00        0.00
   203      4         4        0.00        0.00
   203      4         5        0.00        0.00
   203      4         6        0.00        0.00
   203      4         7        0.00        0.00
   203      4         8        0.00        0.00
   203      4         9        0.00        0.00
   203      4        10        0.00        0.00
   203      5         1        0.00        0.00
   203      5         2        0.00        0.00
   203      5         3        0.00        0.00
   203      5         4        0.00        0.00
   203      5         5        0.00        0.00
   203      5         6        0.00        0.00
   203      5         7        0.00        0.00
   203      5         8        0.00        0.00
   203      5         9        0.00        0.00
   203      5        10        0.00        0.00
   203      6         1        0.00        0.00
   203      6         2        0.00        0.00
   203      6         3        0.00        0.00
   203      6         4        0.00        0.00
   203      6         5        0.00        0.00
   203      6         6        0.00        0.00
   203      6         7        0.00        0.00
   203      6         8        0.00        0.00
   203      6         9        0.00        0.00
   203      6        10        0.00        0.00
   203      7         1        0.00        0.00
   203      7         2        0.00        0.00
   203      7         3        0.00        0.00
   203      7         4        0.00        0.00
   203      7         5        0.00        0.00
   203      7         6        0.00        0.00
   203      7         7        0.00        0.00
   203      7         8        0.00        0.00
   203      7         9        0.00        0.00
   203      7        10        0.00        0.00
   203      8         1        0.00        0.00
   203      8         2        0.00        0.00
   203      8         3        0.00        0.00
   203      8         4        0.00        0.00
   203      8         5        0.00        0.00
   203      8         6        0.00        0.00
   203      8         7        0.00        0.00
   203      8         8        0.00        0.00
   203      8         9        0.00        0.00
   203      8        10        0.00        0.00
   203      9         1        0.00       55.59
   203      9         2        0.00       55.59
   203      9         3        0.00       55.59
   203      9         4        0.00       55.59
   203      9         5        0.00       55.59
   203      9         6       55.59        0.00
   203      9         7        0.00       55.59
   203      9         8        3.36       52.23
   203      9         9        3.36       52.23
   203      9        10        0.00       55.59
   203     10         1       54.20        0.00
   203     10         2       54.20        0.00
   203     10         3       54.20        0.00
   203     10         4       54.20        0.00
   203     10         5       54.20        0.00
   203     10         6       54.20        0.00
   203     10         7       54.20        0.00
   203     10         8       54.20        0.00
   203     10         9       54.20        0.00
   203     10        10       54.20        0.00
   203     11         1       51.17        0.00
   203     11         2       26.89       24.28
   203     11         3        0.00       51.17
   203     11         4       35.28       15.90
   203     11         5       51.17        0.00
   203     11         6       51.17        0.00
   203     11         7       51.17        0.00
   203     11         8       51.17        0.00
   203     11         9       51.17        0.00
   203     11        10       51.17        0.00
   203     12         1       46.07        0.00
   203     12         2       46.07        0.00
   203     12         3       46.07        0.00
   203     12         4       46.07        0.00
   203     12         5       46.07        0.00
   203     12         6       46.07        0.00
   203     12         7       46.07        0.00
   203     12         8       46.07        0.00
   203     12         9       46.07        0.00
   203     12        10       46.07        0.00
   215      1         1        0.00        0.00
   215      1         2        0.00        0.00
   215      1         3        0.00        0.00
   215      1         4        0.00        0.00
   215      1         5        0.00        0.00
   215      1         6        0.00        0.00
   215      1         7        0.00        0.00
   215      1         8        0.00        0.00
   215      1         9        0.00        0.00
   215      1        10        0.00        0.00
   215      2         1        0.00        0.00
   215      2         2        0.00        0.00
   215      2         3        0.00        0.00
   215      2         4        0.00        0.00
   215      2         5        0.00        0.00
   215      2         6        0.00        0.00
   215      2         7        0.00        0.00
   215      2         8        0.00        0.00
   215      2         9        0.00        0.00
   215      2        10        0.00        0.00
   215      3         1        0.00        0.00
   215      3         2        0.00        0.00
   215      3         3        0.00        0.00
