 Cycle Period  Scenario   Power Gen   #Turbines
   191      1         1        0.00           0
   191      1         2        0.00           0
   191      1         3        0.00           0
   191      1         4        0.00           0
   191      1         5        0.00           0
   191      1         6        0.00           0
   191      1         7        0.00           0
   191      1         8        0.00           0
   191      1         9        0.00           0
   191      1        10        0.00           0
   191      1        11        0.00           0
   191      1        12        0.00           0
   191      1        13        0.00           0
   191      1        14        0.00           0
   191      1        15        0.00           0
   191      2         1        0.00           0
   191      2         2        0.00           0
   191      2         3        0.00           0
   191      2         4        0.00           0
   191      2         5        0.00           0
   191      2         6        0.00           0
   191      2         7        0.00           0
   191      2         8        0.00           0
   191      2         9        0.00           0
   191      2        10        0.00           0
   191      2        11        0.00           0
   191      2        12        0.00           0
   191      2        13        0.00           0
   191      2        14        0.00           0
   191      2        15        0.00           0
   191      3         1        0.00           0
   191      3         2        0.00           0
   191      3         3        0.00           0
   191      3         4        0.00           0
   191      3         5        0.00           0
   191      3         6        0.00           0
   191      3         7        0.00           0
   191      3         8        0.00           0
   191      3         9        0.00           0
   191      3        10        0.00           0
   191      3        11        0.00           0
   191      3        12        0.00           0
   191      3        13        0.00           0
   191      3        14        0.00           0
   191      3        15        0.00           0
   191      4         1        0.00           0
   191      4         2        0.00           0
   191      4         3        0.00           0
   191      4         4        0.00           0
   191      4         5        0.00           0
   191      4         6        0.00           0
   191      4         7        0.00           0
   191      4         8        0.00           0
   191      4         9        0.00           0
   191      4        10        0.00           0
   191      4        11        0.00           0
   191      4        12        0.00           0
   191      4        13        0.00           0
   191      4        14        0.00           0
   191      4        15        0.00           0
   191      5         1        0.00           0
   191      5         2        0.00           0
   191      5         3        0.00           0
   191      5         4        0.00           0
   191      5         5        0.00           0
   191      5         6        0.00           0
   191      5         7        0.00           0
   191      5         8        0.00           0
   191      5         9        0.00           0
   191      5        10        0.00           0
   191      5        11        0.00           0
   191      5        12        0.00           0
   191      5        13        0.00           0
   191      5        14        0.00           0
   191      5        15        0.00           0
   191      6         1        0.00           0
   191      6         2        0.00           0
   191      6         3        0.00           0
   191      6         4        0.00           0
   191      6         5        0.00           0
   191      6         6        0.00           0
   191      6         7        0.00           0
   191      6         8        0.00           0
   191      6         9        0.00           0
   191      6        10        0.00           0
   191      6        11        0.00           0
   191      6        12        0.00           0
   191      6        13        0.00           0
   191      6        14        0.00           0
   191      6        15        0.00           0
   191      7         1        0.00           0
   191      7         2        0.00           0
   191      7         3        0.00           0
   191      7         4        0.00           0
   191      7         5        0.00           0
   191      7         6        0.00           0
   191      7         7        0.00           0
   191      7         8        0.00           0
   191      7         9        0.00           0
   191      7        10        0.00           0
   191      7        11        0.00           0
   191      7        12        0.00           0
   191      7        13        0.00           0
   191      7        14        7.18           1
   191      7        15        0.00           0
   191      8         1       18.27           2
   191      8         2        9.14           1
   191      8         3        0.00           0
   191      8         4        0.00           0
   191      8         5        9.14           1
   191      8         6       18.27           2
   191      8         7        0.00           0
   191      8         8       18.27           2
   191      8         9        0.00           0
   191      8        10       18.27           2
   191      8        11        0.00           0
   191      8        12        9.14           1
   191      8        13       18.27           2
   191      8        14       16.69           2
   191      8        15        0.00           0
   191      9         1        0.00           0
   191      9         2       10.22           1
   191      9         3       11.01           1
   191      9         4        0.00           0
   191      9         5        0.00           0
   191      9         6        0.00           0
   191      9         7       11.01           1
   191      9         8       18.87           2
   191      9         9        0.00           0
   191      9        10        0.00           0
   191      9        11        0.00           0
   191      9        12       20.44           2
   191      9        13        9.43           1
   191      9        14        8.64           1
   191      9        15        0.00           0
   191     10         1       59.02           2
   191     10         2       59.02           2
   191     10         3       62.12           2
   191     10         4       68.04           2
   191     10         5        0.00           0
   191     10         6       40.62           2
   191     10         7       25.18           1
   191     10         8       34.19           2
   191     10         9        0.00           0
   191     10        10        0.00           0
   191     10        11       12.69           1
   191     10        12       37.40           2
   191     10        13       54.16           2
   191     10        14        9.54           1
   191     10        15        0.00           0
   191     11         1       41.67           2
   191     11         2       46.28           2
   191     11         3       50.74           2
   191     11         4       55.07           2
   191     11         5       71.22           2
   191     11         6       52.04           2
   191     11         7       54.88           2
   191     11         8       43.36           2
   191     11         9       67.02           2
   191     11        10       30.78           1
   191     11        11       46.18           2
   191     11        12       47.70           2
   191     11        13        8.43           1
   191     11        14       52.95           2
   191     11        15       75.45           2
   191     12         1       35.29           2
   191     12         2       14.06           2
   191     12         3       37.36           2
   191     12         4       40.77           2
   191     12         5       56.33           2
   191     12         6       38.39           2
   191     12         7       50.02           2
   191     12         8       31.54           2
   191     12         9       63.41           2
   191     12        10       63.41           2
   191     12        11       63.41           2
   191     12        12       34.97           2
   191     12        13       43.71           2
   191     12        14       39.10           2
   191     12        15       61.18           2
   191     13         1       22.39           2
   191     13         2       27.45           2
   191     13         3        0.00           0
   191     13         4       26.71           2
   191     13         5       38.97           2
   191     13         6       24.83           2
   191     13         7       34.00           2
   191     13         8       19.43           2
   191     13         9       44.55           2
   191     13        10       44.55           2
   191     13        11       44.55           2
   191     13        12       22.13           2
   191     13        13       29.03           2
   191     13        14       18.36           2
   191     13        15       42.80           2
   203      1         1        0.00           0
   203      1         2        0.00           0
   203      1         3        0.00           0
   203      1         4        0.00           0
   203      1         5        0.00           0
   203      1         6        0.00           0
   203      1         7        0.00           0
   203      1         8        0.00           0
   203      1         9        0.00           0
   203      1        10        0.00           0
   203      1        11        0.00           0
   203      1        12        0.00           0
   203      1        13        0.00           0
   203      1        14        0.00           0
   203      1        15        0.00           0
   203      2         1        0.00           0
   203      2         2        0.00           0
   203      2         3        0.00           0
   203      2         4        0.00           0
   203      2         5        0.00           0
   203      2         6        0.00           0
   203      2         7        0.00           0
   203      2         8        0.00           0
   203      2         9        0.00           0
   203      2        10        0.00           0
   203      2        11        0.00           0
   203      2        12        0.00           0
   203      2        13        0.00           0
   203      2        14        0.00           0
   203      2        15        0.00           0
   203      3         1        0.00           0
   203      3         2        0.00           0
   203      3         3        0.00           0
   203      3         4        0.00           0
   203      3         5        0.00           0
   203      3         6        0.00           0
   203      3         7        0.00           0
   203      3         8        0.00           0
   203      3         9        0.00           0
   203      3        10        0.00           0
   203      3        11        0.00           0
   203      3        12        0.00           0
   203      3        13        0.00           0
   203      3        14        0.00           0
   203      3        15        0.00           0
   203      4         1        0.00           0
   203      4         2        0.00           0
   203      4         3        0.00           0
   203      4         4        0.00           0
   203      4         5        0.00           0
   203      4         6        0.00           0
   203      4         7        0.00           0
   203      4         8        0.00           0
   203      4         9        0.00           0
   203      4        10        0.00           0
   203      4        11        0.00           0
   203      4        12        0.00           0
   203      4        13        0.00           0
   203      4        14        0.00           0
   203      4        15        0.00           0
   203      5         1        0.00           0
   203      5         2        0.00           0
   203      5         3        0.00           0
   203      5         4        0.00           0
   203      5         5        0.00           0
   203      5         6        0.00           0
   203      5         7        0.00           0
   203      5         8        0.00           0
   203      5         9        0.00           0
   203      5        10        0.00           0
   203      5        11        0.00           0
   203      5        12        0.00           0
   203      5        13        0.00           0
   203      5        14        0.00           0
   203      5        15        0.00           0
   203      6         1        0.00           0
   203      6         2        0.00           0
   203      6         3        0.00           0
   203      6         4        0.00           0
   203      6         5        0.00           0
   203      6         6        0.00           0
   203      6         7        0.00           0
   203      6         8        0.00           0
   203      6         9        0.00           0
   203      6        10        0.00           0
   203      6        11        0.00           0
   203      6        12        0.00           0
   203      6        13        0.00           0
   203      6        14        0.00           0
   203      6        15        0.00           0
   203      7         1        0.00           0
   203      7         2       72.84           2
   203      7         3        0.00           0
   203      7         4        0.00           0
   203      7         5        0.00           0
   203      7         6        0.00           0
   203      7         7        0.00           0
   203      7         8        0.00           0
   203      7         9        0.00           0
   203      7        10        0.00           0
   203      7        11        0.00           0
   203      7        12        0.00           0
   203      7        13        0.00           0
   203      7        14        0.00           0
   203      7        15        0.00           0
   203      8         1       92.49           2
   203      8         2        0.00           0
   203      8         3        0.00           0
   203      8         4        0.00           0
   203      8         5        0.00           0
   203      8         6       92.49           2
   203      8         7        0.00           0
   203      8         8       46.24           1
   203      8         9        0.00           0
   203      8        10       92.49           2
   203      8        11       92.49           2
   203      8        12       92.49           2
   203      8        13        0.00           0
   203      8        14        0.00           0
   203      8        15        0.00           0
   203      9         1       28.79           1
   203      9         2       17.14           1
   203      9         3      111.18           2
   203      9         4        0.00           0
   203      9         5      111.18           2
   203      9         6        0.00           0
   203      9         7      111.18           2
   203      9         8       93.50           2
   203      9         9      109.39           2
   203      9        10        0.00           0
   203      9        11       37.91           1
   203      9        12       87.33           2
   203      9        13      111.18           2
   203      9        14      111.18           2
   203      9        15      111.18           2
   203     10         1      102.36           2
   203     10         2       96.22           2
   203     10         3      102.92           2
   203     10         4      127.70           2
   203     10         5      108.40           2
   203     10         6      108.40           2
   203     10         7      108.40           2
   203     10         8       84.40           2
   203     10         9      108.68           2
   203     10        10      108.40           2
   203     10        11       99.38           2
   203     10        12       90.34           2
   203     10        13      108.40           2
   203     10        14      108.40           2
   203     10        15      108.40           2
   203     11         1       96.30           2
   203     11         2       79.44           2
   203     11         3      103.84           2
   203     11         4      121.64           2
   203     11         5      102.35           2
   203     11         6      102.35           2
   203     11         7      102.35           2
   203     11         8       99.40           2
   203     11         9       99.80           2
   203     11        10      102.35           2
   203     11        11       75.43           2
   203     11        12       84.29           2
   203     11        13      102.35           2
   203     11        14      102.35           2
   203     11        15      102.35           2
   203     12         1       86.09           2
   203     12         2       95.76           2
   203     12         3       93.63           2
   203     12         4      111.43           2
   203     12         5       92.13           2
   203     12         6       92.13           2
   203     12         7       92.13           2
   203     12         8       89.18           2
   203     12         9       93.18           2
   203     12        10       92.13           2
   203     12        11       90.52           2
   203     12        12       74.07           2
   203     12        13       92.13           2
   203     12        14       92.13           2
   203     12        15       92.13           2
   215      1         1        0.00           0
   215      1         2        0.00           0
   215      1         3        0.00           0
   215      1         4        0.00           0
   215      1         5        0.00           0
   215      1         6        0.00           0
   215      1         7        0.00           0
   215      1         8        0.00           0
   215      1         9        0.00           0
   215      1        10        0.00           0
   215      1        11        0.00           0
   215      1        12        0.00           0
   215      1        13        0.00           0
   215      1        14        0.00           0
   215      1        15        0.00           0
   215      2         1        0.00           0
   215      2         2        0.00           0
   215      2         3        0.00           0
   215      2         4        0.00           0
   215      2         5        0.00           0
   215      2         6        0.00           0
   215      2         7        0.00           0
   215      2         8        0.00           0
   215      2         9        0.00           0
   215      2        10        0.00           0
   215      2        11        0.00           0
   215      2        12        0.00           0
   215      2        13        0.00           0
   215      2        14        0.00           0
   215      2        15        0.00           0
   215      3         1        0.00           0
   215      3         2        0.00           0
   215      3         3        0.00           0
   215      3         4        0.00           0
   215      3         5        0.00           0
   215      3         6        0.00           0
   215      3         7        0.00           0
   215      3         8        0.00           0
   215      3         9        0.00           0
   215      3        10        0.00           0
   215      3        11        0.00           0
   215      3        12        0.00           0
   215      3        13        0.00           0
   215      3        14        0.00           0
   215      3        15        0.00           0
   215      4         1        0.00           0
   215      4         2        0.00           0
   215      4         3        0.00           0
   215      4         4        0.00           0
   215      4         5        0.00           0
   215      4         6        0.00           0
   215      4         7        0.00           0
   215      4         8        0.00           0
   215      4         9        0.00           0
   215      4        10        0.00           0
   215      4        11        0.00           0
   215      4        12        0.00           0
   215      4        13        0.00           0
   215      4        14        0.00           0
   215      4        15        0.00           0
   215      5         1        0.00           0
   215      5         2        0.00           0
   215      5         3        0.00           0
   215      5         4        0.00           0
   215      5         5        0.00           0
   215      5         6        0.00           0
   215      5         7        0.00           0
   215      5         8        0.00           0
   215      5         9        0.00           0
   215      5        10        0.00           0
   215      5        11        0.00           0
   215      5        12        0.00           0
   215      5        13        0.00           0
   215      5        14        0.00           0
   215      5        15        0.00           0
   215      6         1        0.00           0
   215      6         2        0.00           0
   215      6         3        0.00           0
   215      6         4        0.00           0
   215      6         5        0.00           0
   215      6         6        0.00           0
   215      6         7        0.00           0
   215      6         8        0.00           0
   215      6         9        0.00           0
   215      6        10        0.00           0
   215      6        11        0.00           0
   215      6        12        0.00           0
