 Cycle Period  Scenario      SoldDA      SoldRT
   191      1         1        0.00        0.00
   191      1         2        0.00        0.00
   191      1         3        0.00        0.00
   191      1         4        0.00        0.00
   191      1         5        0.00        0.00
   191      1         6        0.00        0.00
   191      1         7        0.00        0.00
   191      1         8        0.00        0.00
   191      1         9        0.00        0.00
   191      1        10        0.00        0.00
   191      1        11        0.00        0.00
   191      1        12        0.00        0.00
   191      1        13        0.00        0.00
   191      1        14        0.00        0.00
   191      1        15        0.00        0.00
   191      2         1        0.00        0.00
   191      2         2        0.00        0.00
   191      2         3        0.00        0.00
   191      2         4        0.00        0.00
   191      2         5        0.00        0.00
   191      2         6        0.00        0.00
   191      2         7        0.00        0.00
   191      2         8        0.00        0.00
   191      2         9        0.00        0.00
   191      2        10        0.00        0.00
   191      2        11        0.00        0.00
   191      2        12        0.00        0.00
   191      2        13        0.00        0.00
   191      2        14        0.00        0.00
   191      2        15        0.00        0.00
   191      3         1        0.00        0.00
   191      3         2        0.00        0.00
   191      3         3        0.00        0.00
   191      3         4        0.00        0.00
   191      3         5        0.00        0.00
   191      3         6        0.00        0.00
   191      3         7        0.00        0.00
   191      3         8        0.00        0.00
   191      3         9        0.00        0.00
   191      3        10        0.00        0.00
   191      3        11        0.00        0.00
   191      3        12        0.00        0.00
   191      3        13        0.00        0.00
   191      3        14        0.00        0.00
   191      3        15        0.00        0.00
   191      4         1        0.00        0.00
   191      4         2        0.00        0.00
   191      4         3        0.00        0.00
   191      4         4        0.00        0.00
   191      4         5        0.00        0.00
   191      4         6        0.00        0.00
   191      4         7        0.00        0.00
   191      4         8        0.00        0.00
   191      4         9        0.00        0.00
   191      4        10        0.00        0.00
   191      4        11        0.00        0.00
   191      4        12        0.00        0.00
   191      4        13        0.00        0.00
   191      4        14        0.00        0.00
   191      4        15        0.00        0.00
   191      5         1        0.00        0.00
   191      5         2        0.00        0.00
   191      5         3        0.00        0.00
   191      5         4        0.00        0.00
   191      5         5        0.00        0.00
   191      5         6        0.00        0.00
   191      5         7        0.00        0.00
   191      5         8        0.00        0.00
   191      5         9        0.00        0.00
   191      5        10        0.00        0.00
   191      5        11        0.00        0.00
   191      5        12        0.00        0.00
   191      5        13        0.00        0.00
   191      5        14        0.00        0.00
   191      5        15        0.00        0.00
   191      6         1        0.00        0.00
   191      6         2        0.00        0.00
   191      6         3        0.00        0.00
   191      6         4        0.00        0.00
   191      6         5        0.00        0.00
   191      6         6        0.00        0.00
   191      6         7        0.00        0.00
   191      6         8        0.00        0.00
   191      6         9        0.00        0.00
   191      6        10        0.00        0.00
   191      6        11        0.00        0.00
   191      6        12        0.00        0.00
   191      6        13        0.00        0.00
   191      6        14        0.00        0.00
   191      6        15        0.00        0.00
   191      7         1        0.00        0.00
   191      7         2        0.00        0.00
   191      7         3        0.00        0.00
   191      7         4        0.00        0.00
   191      7         5        0.00        0.00
   191      7         6        0.00        0.00
   191      7         7        0.00        0.00
   191      7         8        0.00        0.00
   191      7         9        0.00        0.00
   191      7        10        0.00        0.00
   191      7        11        0.00        0.00
   191      7        12        0.00        0.00
   191      7        13        0.00        0.00
   191      7        14        0.00        3.59
   191      7        15        0.00        0.00
   191      8         1        0.00        9.14
   191      8         2        4.57        0.00
   191      8         3        0.00        0.00
   191      8         4        0.00        0.00
   191      8         5        0.03        4.54
   191      8         6        0.00        9.14
   191      8         7        0.00        0.00
   191      8         8        0.00        9.14
   191      8         9        0.00        0.00
   191      8        10        3.05        6.09
   191      8        11        0.00        0.00
   191      8        12        1.22        3.34
   191      8        13        0.00        9.14
   191      8        14        0.20        8.14
   191      8        15        0.00        0.00
   191      9         1        0.00        0.00
   191      9         2        0.00        5.11
   191      9         3        0.00        5.51
   191      9         4        0.00        0.00
   191      9         5        0.00        0.00
   191      9         6        0.00        0.00
   191      9         7        0.00        5.51
   191      9         8        0.00        9.43
   191      9         9        0.00        0.00
   191      9        10        0.00        0.00
   191      9        11        0.00        0.00
   191      9        12        0.00       10.22
   191      9        13        0.00        4.72
   191      9        14        0.00        4.32
   191      9        15        0.00        0.00
   191     10         1        7.71       21.80
   191     10         2       24.64        4.87
   191     10         3       22.56        8.50
   191     10         4        2.03       31.99
   191     10         5        0.00        0.00
   191     10         6       12.30        8.01
   191     10         7       12.32        0.27
   191     10         8       15.02        2.08
   191     10         9        0.00        0.00
   191     10        10        0.00        0.00
   191     10        11        0.01        6.33
   191     10        12       18.70        0.00
   191     10        13       27.08        0.00
   191     10        14        0.00        4.77
   191     10        15        0.00        0.00
   191     11         1       20.84        0.00
   191     11         2        0.00       23.14
   191     11         3       25.37        0.00
   191     11         4       27.53        0.00
   191     11         5       26.97        8.64
   191     11         6       26.02        0.00
   191     11         7       27.44        0.00
   191     11         8       19.24        2.44
   191     11         9       27.18        6.33
   191     11        10        0.00       15.39
   191     11        11       12.09       11.00
   191     11        12        2.77       21.08
   191     11        13        0.00        4.21
   191     11        14        0.00       26.47
   191     11        15        0.00       37.72
   191     12         1       17.65        0.00
   191     12         2        7.03        0.00
   191     12         3        0.00       18.68
   191     12         4        7.33       13.06
   191     12         5        0.00       28.16
   191     12         6       13.13        6.07
   191     12         7        3.61       21.40
   191     12         8        0.00       15.77
   191     12         9        7.96       23.74
   191     12        10        3.26       28.44
   191     12        11        0.00       31.70
   191     12        12        0.00       17.48
   191     12        13       12.72        9.14
   191     12        14        9.58        9.97
   191     12        15       10.66       19.93
   191     13         1        1.95        9.24
   191     13         2        0.00       13.73
   191     13         3        0.00        0.00
   191     13         4        0.00       13.36
   191     13         5        0.00       19.49
   191     13         6        2.65        9.77
   191     13         7        0.00       17.00
   191     13         8        0.00        9.72
   191     13         9       12.96        9.32
   191     13        10        2.94       19.34
   191     13        11        0.00       22.28
   191     13        12        0.00       11.07
   191     13        13       14.51        0.00
   191     13        14        0.00        9.18
   191     13        15        0.00       21.40
   203      1         1        0.00        0.00
   203      1         2        0.00        0.00
   203      1         3        0.00        0.00
   203      1         4        0.00        0.00
   203      1         5        0.00        0.00
   203      1         6        0.00        0.00
   203      1         7        0.00        0.00
   203      1         8        0.00        0.00
   203      1         9        0.00        0.00
   203      1        10        0.00        0.00
   203      1        11        0.00        0.00
   203      1        12        0.00        0.00
   203      1        13        0.00        0.00
   203      1        14        0.00        0.00
   203      1        15        0.00        0.00
   203      2         1        0.00        0.00
   203      2         2        0.00        0.00
   203      2         3        0.00        0.00
   203      2         4        0.00        0.00
   203      2         5        0.00        0.00
   203      2         6        0.00        0.00
   203      2         7        0.00        0.00
   203      2         8        0.00        0.00
   203      2         9        0.00        0.00
   203      2        10        0.00        0.00
   203      2        11        0.00        0.00
   203      2        12        0.00        0.00
   203      2        13        0.00        0.00
   203      2        14        0.00        0.00
   203      2        15        0.00        0.00
   203      3         1        0.00        0.00
   203      3         2        0.00        0.00
   203      3         3        0.00        0.00
   203      3         4        0.00        0.00
   203      3         5        0.00        0.00
   203      3         6        0.00        0.00
   203      3         7        0.00        0.00
   203      3         8        0.00        0.00
   203      3         9        0.00        0.00
   203      3        10        0.00        0.00
   203      3        11        0.00        0.00
   203      3        12        0.00        0.00
   203      3        13        0.00        0.00
   203      3        14        0.00        0.00
   203      3        15        0.00        0.00
   203      4         1        0.00        0.00
   203      4         2        0.00        0.00
   203      4         3        0.00        0.00
   203      4         4        0.00        0.00
   203      4         5        0.00        0.00
   203      4         6        0.00        0.00
   203      4         7        0.00        0.00
   203      4         8        0.00        0.00
   203      4         9        0.00        0.00
   203      4        10        0.00        0.00
   203      4        11        0.00        0.00
   203      4        12        0.00        0.00
   203      4        13        0.00        0.00
   203      4        14        0.00        0.00
   203      4        15        0.00        0.00
   203      5         1        0.00        0.00
   203      5         2        0.00        0.00
   203      5         3        0.00        0.00
   203      5         4        0.00        0.00
   203      5         5        0.00        0.00
   203      5         6        0.00        0.00
   203      5         7        0.00        0.00
   203      5         8        0.00        0.00
   203      5         9        0.00        0.00
   203      5        10        0.00        0.00
   203      5        11        0.00        0.00
   203      5        12        0.00        0.00
   203      5        13        0.00        0.00
   203      5        14        0.00        0.00
   203      5        15        0.00        0.00
   203      6         1        0.00        0.00
   203      6         2        0.00        0.00
   203      6         3        0.00        0.00
