--------------------------------------------------------------------------------------------------------------------
Scenarios: 10
Turbines: 1
Cycles: 17
Time Limit: 600
-------------------------------------
Status: Unfinished
Profit = 14863.4
Gap: 36.5589 %
-------------------------------------
 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)
     1      6  0.73787  0.00000  0.36893  0.73787  0.00000  0.36893  0.73787  0.00000  0.36893  0.73787  0.00000  0.36893  0.73787  0.00000  0.36893  0.73787  0.00000  0.36893  0.73787  0.00000  0.36893  0.73787  0.00000  0.36893  0.73787  0.00000  0.36893  0.73787  0.00000  0.36893
     1      7  1.63417  0.81708  0.00000  1.63417  0.00000  0.81708  1.63417  0.00000  0.81708  1.63417  0.00188  0.81521  1.63417  0.27403  0.54305  1.63417  0.22355  0.59354  1.63417  0.00000  0.81708  1.63417  0.03175  0.78534  1.63417  0.03569  0.78139  1.63417  0.27403  0.54305
     1      8  1.84817  0.92408  0.00000  1.84817  0.00000  0.92408  1.84817  0.00000  0.92408  1.84817  0.00212  0.92196  1.84817  0.30992  0.61417  1.84817  0.25282  0.67126  1.84817  0.00000  0.92408  1.84817  0.03591  0.88818  1.84817  0.04037  0.88372  1.84817  0.30992  0.61417
     1      9  2.55240  1.27620  0.00000  2.55240  1.27620  0.00000  2.55240  1.27620  0.00000  2.55240  0.23970  1.03650  2.55240  1.27620  0.00000  2.55240  0.56375  0.71245  2.55240  1.27620  0.00000  2.55240  1.27620  0.00000  2.55240  0.00148  1.27472  2.55240  1.27620  0.00000
     1     10  1.81941  0.90971  0.00000  1.81941  0.00000  0.90971  1.81941  0.34550  0.56421  1.81941  0.17087  0.73884  1.81941  0.90971  0.00000  1.81941  0.40185  0.50785  1.81941  0.82518  0.08453  1.81941  0.90971  0.00000  1.81941  0.00105  0.90865  1.81941  0.90971  0.00000
     1     11  1.81941  0.28065  0.62905  1.81941  0.90971  0.00000  1.81941  0.25450  0.65520  1.81941  0.82277  0.08694  1.81941  0.05051  0.85919  1.81941  0.04793  0.86178  1.81941  0.90971  0.00000  1.81941  0.90971  0.00000  1.81941  0.90971 -0.00000  1.81941  0.05051  0.85919
     1     12  4.31144  0.00000  2.15572  4.31144  0.00000  2.15572  4.31144  0.66682  1.48890  4.31144  2.15572  0.00000  4.31144  0.13235  2.02337  4.31144  0.00000  2.15572  4.31144  1.34393  0.81179  4.31144  1.63950  0.51622  4.31144  0.00462  2.15110  4.31144  0.13235  2.02337
     2      5  0.45920  0.11050  0.11910  0.45920  0.12841  0.10119  0.45920  0.04319  0.18641  0.45920  0.00953  0.22007  0.45920  0.22919  0.00041  0.45920  0.00000  0.22960  0.45920  0.22960  0.00000  0.45920  0.18228  0.04732  0.45920  0.10480  0.12480  0.45920  0.22960 -0.00000
     2      6  0.69663  0.16764  0.18068  0.69663  0.19481  0.15351  0.69663  0.06552  0.28280  0.69663  0.01445  0.33386  0.69663  0.34769  0.00062  0.69663  0.00000  0.34831  0.69663  0.34831  0.00000  0.69663  0.27653  0.07179  0.69663  0.15898  0.18933  0.69663  0.34831  0.00000
     2      7  0.95419  0.21260  0.26449  0.95419  0.46344  0.01365  0.95419  0.00473  0.47236  0.95419  0.03380  0.44329  0.95419  0.06536  0.41173  0.95419  0.00000  0.47709  0.95419  0.47709  0.00000  0.95419  0.39410  0.08299  0.95419  0.01206  0.46503  0.95419  0.47709  0.00000
     2      8  1.99154  0.94806  0.04771  1.99154  0.87779  0.11798  1.99154  0.90971  0.08606  1.99154  0.91580  0.07997  1.99154  0.90971  0.08606  1.99154  0.00000  0.99577  1.99154  0.99577  0.00000  1.99154  0.74645  0.24932  1.81941  0.90971  0.00000  1.81941  0.90971  0.00000
     2      9  2.40085  1.20042  0.00000  2.40085  1.20042  0.00000  2.40085  0.02201  1.17842  2.40085  1.20042  0.00000  2.40085  0.29199  0.90843  2.40085  1.20042  0.00000  2.40085  0.56779  0.63264  2.40085  1.07836  0.12207  2.40085  0.47976  0.72067  2.40085  1.20042  0.00000
     2     10  2.75543  1.37771  0.00000  2.75543  1.37771 -0.00000  2.75543  1.37771 -0.00000  2.75543  1.37771  0.00000  2.75543  1.37771 -0.00000  2.75543  1.37771  0.00000  2.75543  1.37771  0.00000  2.75543  1.37771  0.00000  2.75543  1.37771 -0.00000  2.75543  1.37771 -0.00000
     2     11  1.81941  0.90971 -0.00000  1.81941  0.09551  0.81420  1.81941  0.90971  0.00000  1.81941  0.90971  0.00000  1.81941  0.90971  0.00000  1.81941  0.27458  0.63512  1.81941  0.90971 -0.00000  1.81941  0.90971 -0.00000  1.81941  0.90971 -0.00000  1.81941  0.00000  0.90971
     2     12  3.97997  1.98998  0.00000  3.97997  0.20892  1.78106  3.97997  1.98998  0.00000  3.97997  1.98998  0.00000  3.97997  1.98998  0.00000  3.97997  0.60065  1.38933  3.97997  1.98998  0.00000  3.97997  1.98998  0.00000  3.97997  1.98998  0.00000  3.97997  0.00000  1.98998
     3      5  0.43107  0.21554  0.00000  0.43107  0.16736  0.04818  0.43107  0.21554  0.00000  0.43107  0.21554  0.00000  0.43107  0.21554  0.00000  0.43107  0.21554  0.00000  0.43107  0.21554  0.00000  0.43107  0.21554  0.00000  0.43107  0.00000  0.21554  0.43107  0.21554  0.00000
     3      6  0.65441  0.32721  0.00000  0.65441  0.32721  0.00000  0.65441  0.32721  0.00000  0.65441  0.32721  0.00000  0.65441  0.32721  0.00000  0.65441  0.32721 -0.00000  0.65441  0.32721  0.00000  0.65441  0.32721  0.00000  0.65441  0.32721  0.00000  0.65441  0.32721  0.00000
     3      7  0.89645  0.44823  0.00000  0.89645  0.44823  0.00000  0.89645  0.44823  0.00000  0.89645  0.44823  0.00000  0.89645  0.44823  0.00000  0.89645  0.44823  0.00000  0.89645  0.44823  0.00000  0.89645  0.44823  0.00000  0.89645  0.44823  0.00000  0.89645  0.44823  0.00000
     3      8  1.81941  0.19887  0.71084  1.86308  0.79602  0.13552  1.86308  0.00000  0.93154  1.86308  0.93154  0.00000  1.86308  0.48795  0.44359  1.86308  0.04436  0.88718  1.86308  0.88718  0.04436  1.86308  0.00000  0.93154  1.86308  0.93154  0.00000  1.86308  0.09420  0.83734
     3      9  2.24510  0.23965  0.88291  2.24510  0.95924  0.16331  2.24510  0.00000  1.12255  2.24510  1.12255  0.00000  2.24510  0.58800  0.53455  2.24510  0.05345  1.06910  2.24510  1.06910  0.05345  2.24510  0.00000  1.12255  2.24510  1.12255  0.00000  2.24510  0.11352  1.00903
     3     10  2.57456  0.36432  0.92296  2.57456  0.00000  1.28728  2.57456  0.00000  1.28728  2.57456  1.28728  0.00000  2.57456  0.00000  1.28728  2.57456  0.61530  0.67198  2.57456  0.00000  1.28728  2.57456  0.00000  1.28728  2.57456  0.00000  1.28728  2.57456  0.00000  1.28728
     3     11  1.81941  0.90971  0.00000  2.82792  1.41396  0.00000  2.82792  0.03439  1.37957  1.81941  0.90971  0.00000  1.81941  0.83213  0.07758  1.81941  0.90971  0.00000  1.81941  0.29534  0.61437  2.82792  0.03439  1.37957  2.82792  1.40563  0.00833  1.81941  0.89678  0.01293
     3     12  1.81941  0.33456  0.57514  1.81941  0.00000  0.90971  1.81941  0.00000  0.90971  1.81941  0.71565  0.19405  1.81941  0.00000  0.90971  1.81941  0.90971  0.00000  1.81941  0.00000  0.90971  1.81941  0.00000  0.90971  1.81941  0.00000  0.90971  1.81941  0.00000  0.90971
     4      5  0.00000  0.00000  0.00000  0.40678  0.20339  0.00000  0.00000  0.00000  0.00000  0.40678  0.00041  0.20298  0.40678  0.20339  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.40678  0.20339  0.00000  0.40678  0.15853  0.04486
     4      6  0.61971  0.00000  0.30985  0.61971  0.26242  0.04743  0.61971  0.25280  0.05705  0.61971  0.00052  0.30934  0.61971  0.30985  0.00000  0.61971  0.00000  0.30985  0.61971  0.00000  0.30985  0.61971  0.00105  0.30881  0.61971  0.30985  0.00000  0.61971  0.17063  0.13923
