 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)    Power(11)   SoldDA(11)   SoldRT(11)    Power(12)   SoldDA(12)   SoldRT(12)    Power(13)   SoldDA(13)   SoldRT(13)    Power(14)   SoldDA(14)   SoldRT(14)    Power(15)   SoldDA(15)   SoldRT(15)
   390      7     5.91684     0.00000     2.95842     0.00000     0.00000     0.00000     5.91684     0.00000     2.95842     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     5.91684     0.00000     2.95842     5.91684     0.00000     2.95842     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   390      8     5.65392     0.00000     2.82696     7.49321     0.06709     3.67952     5.65392     0.00000     2.82696     7.49321     0.00000     3.74660     7.49321     0.22681     3.51979     7.49321     0.57095     3.17566     5.65392     0.00000     2.82696     5.65392     0.00000     2.82696     7.49321     3.74660     0.00000     7.49321     0.00000     3.74660     7.49321     0.00000     3.74660     7.49321     1.51915     2.22746     7.49321     0.00000     3.74660     7.49321     0.00000     3.74660     7.49321     0.00000     3.74660
   390      9     5.98319     0.00000     2.99159     7.34500     0.00000     3.67250     5.98319     0.00000     2.99159     7.34500     0.00000     3.67250     7.34500     3.67250     0.00000     7.34500     0.00000     3.67250     5.98319     0.00000     2.99159     5.98319     1.74481     1.24678     7.34500     0.00000     3.67250     7.34500     0.53382     3.13868     7.34500     0.58325     3.08925     7.34500     0.00000     3.67250     7.34500     0.00000     3.67250     7.34500     2.15259     1.51991     7.34500     0.00000     3.67250
   390     10    10.44325     0.00000     5.22163    11.98622     0.00000     5.99311    10.44325     0.00000     5.22163    11.98622     0.00000     5.99311    11.98622     5.99311     0.00000    11.98622     0.00000     5.99311    10.44325     0.00000     5.22163    10.44325     2.84733     2.37429    11.98622     0.00000     5.99311    11.98622     0.87114     5.12197    11.98622     0.95180     5.04131    11.98622     0.00000     5.99311    11.98622     0.00000     5.99311    11.98622     3.51279     2.48032    11.98622     0.00000     5.99311
   390     11     9.47495     0.00000     4.73748    10.83539     0.00000     5.41770     9.47495     0.00000     4.73748    10.83539     0.00000     5.41770    10.83539     0.00000     5.41770    10.83539     0.00000     5.41770     9.47495     0.00000     4.73748     9.47495     0.00000     4.73748    10.83539     0.00000     5.41770    10.83539     0.00000     5.41770    10.83539     0.00000     5.41770    10.83539     0.00000     5.41770    10.83539     0.00000     5.41770    10.83539     0.00000     5.41770    10.83539     0.00000     5.41770
   390     12     7.99684     0.00000     3.99842     9.19634     0.00000     4.59817     7.99684     0.00000     3.99842     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817     7.99684     0.00000     3.99842     7.99684     0.00000     3.99842     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817     9.19634     0.00000     4.59817
 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)    Power(11)   SoldDA(11)   SoldRT(11)    Power(12)   SoldDA(12)   SoldRT(12)    Power(13)   SoldDA(13)   SoldRT(13)    Power(14)   SoldDA(14)   SoldRT(14)    Power(15)   SoldDA(15)   SoldRT(15)
   390      4     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   390      7     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     5.91684     0.00000     2.95842     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     5.91684     0.00000     2.95842     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     5.91684     0.00000     2.95842
   390      8     7.49321     0.04844     3.69817     7.49321     0.29001     3.45660     5.65392     0.13948     2.68749     7.49321     2.93864     0.80796     7.49321     3.27539     0.47122     7.49321     2.09342     1.65318     7.49321     2.29357     1.45303     7.49321     3.05605     0.69055     5.65392     0.13260     2.69436     7.49321     0.22908     3.51752     7.49321     0.00000     3.74660     7.49321     3.74660     0.00000     7.49321     3.74660     0.00000     7.49321     3.42081     0.32579     5.65392     0.13260     2.69436
