 Cycle Period    Power(1)    Power(2)    Power(3)    Power(4)    Power(5)    Power(6)    Power(7)    Power(8)    Power(9)    Power(10)
     1      8     0.40121     0.40121     0.40121     0.40121     0.00000     0.40121     0.40121     0.40121     0.40121     0.40121
     1      9     0.53520     0.53520     0.53520     0.53520     0.53520     0.53520     0.53520     0.53520     0.53520     0.53520
     1     10     0.63654     0.00000     0.63654     0.63654     0.00000     0.63654     0.63654     0.63654     0.63654     0.63654
     1     11     0.69009     0.69009     0.69009     0.00000     0.69009     0.69009     0.69009     0.00000     0.69009     0.69009
     1     12     0.68388     0.68388     0.68388     0.68388     0.00000     0.00000     0.68388     0.68388     0.68388     0.68388
     2      9     0.44816     0.00000     0.44816     0.44816     0.44816     0.44816     0.44816     0.44816     0.44816     0.44816
     2     10     0.53547     0.53547     0.53547     0.53547     0.53547     0.53547     0.53547     0.53547     0.53547     0.53547
     2     11     0.00000     0.57705     0.57705     0.57705     0.00000     0.57705     0.57705     0.57705     0.57705     0.57705
     2     12     0.56169     0.56169     0.56169     0.56169     0.56169     0.56169     0.56169     0.56169     0.56169     0.56169
     3      9     0.35872     0.35872     0.00000     0.35872     0.35872     0.35872     0.35872     0.35872     0.35872     0.35872
     3     10     0.43159     0.43159     0.43159     0.43159     0.00000     0.43159     0.43159     0.43159     0.43159     0.43159
     3     11     0.46077     0.46077     0.46077     0.46077     0.46077     0.46077     0.46077     0.46077     0.46077     0.46077
     3     12     0.43563     0.43563     0.43563     0.43563     0.43563     0.43563     0.43563     0.43563     0.43563     0.43563
     4     10     0.36163     0.36163     0.00000     0.00000     0.36163     0.36163     0.36163     0.36163     0.36163     0.36163
     4     11     0.38706     0.38706     0.38706     0.38706     0.38706     0.38706     0.38706     0.38706     0.38706     0.38706
     4     12     0.36107     0.36107     0.36107     0.36107     0.36107     0.36107     0.36107     0.36107     0.36107     0.36107
 Cycle Period    Power(1)    Power(2)    Power(3)    Power(4)    Power(5)    Power(6)    Power(7)    Power(8)    Power(9)    Power(10)
     1      8     0.40121     0.00000     0.40121     0.40121     0.35403     0.35403     0.40121     0.00000     0.40121     0.40121
     1      9     0.53520     0.00000     0.53520     0.53520     0.53520     0.53520     0.53520     0.53520     0.00000     0.53520
     1     10     0.63654     0.63654     0.63654     0.00000     0.63654     0.63654     0.63654     0.63654     0.63654     0.63654
     1     11     0.69009     0.69009     0.69009     0.69009     0.69009     0.69009     0.69009     0.69009     0.00000     0.69009
     1     12     0.68388     0.68388     0.68388     0.68388     0.68388     0.68388     0.68388     0.68388     0.00000     0.68388
     2      9     0.00000     0.35403     0.44816     0.44816     0.44816     0.44816     0.44816     0.44816     0.44816     0.44816
     2     10     0.00000     0.53547     0.53547     0.53547     0.53547     0.53547     0.53547     0.53547     0.53547     0.53547
     2     11     0.57705     0.57705     0.57705     0.57705     0.57705     0.57705     0.57705     0.57705     0.57705     0.57705
     2     12     0.00000     0.56169     0.56169     0.56169     0.56169     0.56169     0.56169     0.56169     0.56169     0.56169
     3      9     0.35403     0.35872     0.35872     0.35403     0.00000     0.35872     0.35872     0.35403     0.35872     0.35872
     3     10     0.43159     0.43159     0.43159     0.43159     0.00000     0.43159     0.43159     0.43159     0.43159     0.43159
     3     11     0.46077     0.46077     0.46077     0.46077     0.46077     0.00000     0.46077     0.46077     0.46077     0.46077
     3     12     0.43563     0.43563     0.43563     0.43563     0.43563     0.43563     0.43563     0.43563     0.00000     0.43563
     4     10     0.36163     0.36163     0.35403     0.36163     0.00000     0.36163     0.36163     0.36163     0.36163     0.36163
     4     11     0.35403     0.38706     0.35403     0.38706     0.35403     0.38706     0.38706     0.38706     0.35403     0.35403
     4     12     0.35403     0.35403     0.36107     0.36107     0.36107     0.35403     0.35403     0.36107     0.35403     0.36107
 Cycle Period    Power(1)    Power(2)    Power(3)    Power(4)    Power(5)    Power(6)    Power(7)    Power(8)    Power(9)    Power(10)
     1      8     0.40121     0.40121     0.40121     0.00000     0.40121     0.40121     0.40121     0.40121     0.40121     0.40121
     1      9     0.53520     0.53520     0.53520     0.53520     0.53520     0.53520     0.53520     0.53520     0.53520     0.53520
     1     10     0.63654     0.63654     0.63654     0.63654     0.63654     0.63654     0.63654     0.63654     0.63654     0.63654
     1     11     0.00000     0.69009     0.00000     0.69009     0.69009     0.69009     0.69009     0.69009     0.00000     0.69009
     1     12     0.68388     0.00000     0.68388     0.68388     0.68388     0.68388     0.68388     0.68388     0.00000     0.68388
     2      9     0.44816     0.44816     0.44816     0.44816     0.00000     0.44816     0.44816     0.44816     0.44816     0.44816
     2     10     0.53547     0.53547     0.53547     0.53547     0.53547     0.53547     0.53547     0.53547     0.53547     0.53547
     2     11     0.57705     0.57705     0.57705     0.00000     0.57705     0.57705     0.57705     0.57705     0.57705     0.57705
     2     12     0.56169     0.56169     0.56169     0.56169     0.56169     0.56169     0.56169     0.56169     0.56169     0.56169
     3      9     0.35872     0.00000     0.35872     0.35872     0.00000     0.35872     0.35872     0.35872     0.35872     0.35872
     3     10     0.43159     0.43159     0.43159     0.43159     0.43159     0.43159     0.43159     0.43159     0.43159     0.43159
     3     11     0.46077     0.46077     0.46077     0.46077     0.46077     0.46077     0.46077     0.46077     0.46077     0.46077
     3     12     0.43563     0.43563     0.43563     0.43563     0.43563     0.43563     0.43563     0.43563     0.43563     0.43563
     4     10     0.36163     0.36163     0.36163     0.00000     0.36163     0.36163     0.36163     0.36163     0.36163     0.36163
     4     11     0.38706     0.38706     0.38706     0.38706     0.38706     0.38706     0.38706     0.38706     0.38706     0.38706
     4     12     0.36107     0.36107     0.36107     0.36107     0.36107     0.36107     0.36107     0.36107     0.36107     0.00000
