--------------------------------------------------------------------------------------------------------------------
Turbine Test for Reduced number of cycles
Scenarios: 10
Turbines: 3
Time Limit: 172800
Max Gap: 0.05
-------------------------------------
Status: Unfinished
Profit = 119727
Gap: 72.2424 %
-------------------------------------
 Cycle Period    Power(1)   SoldDA(1)   SoldRT(1)    Power(2)   SoldDA(2)   SoldRT(2)    Power(3)   SoldDA(3)   SoldRT(3)    Power(4)   SoldDA(4)   SoldRT(4)    Power(5)   SoldDA(5)   SoldRT(5)    Power(6)   SoldDA(6)   SoldRT(6)    Power(7)   SoldDA(7)   SoldRT(7)    Power(8)   SoldDA(8)   SoldRT(8)    Power(9)   SoldDA(9)   SoldRT(9)    Power(10)   SoldDA(10)   SoldRT(10)
     1      6     1.72952     0.00000     0.86476     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.02666     0.00000     0.51333     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
     1      7     3.21999     1.61000    -0.00000     3.21999     1.61000     0.00000     3.21999     1.61000     0.00000     3.21999     0.19652     1.41348     3.21999     0.02184     1.58816     3.21999     1.61000     0.00000     3.21999     1.61000     0.00000     3.21999     1.61000    -0.00000     3.21999     0.00000     1.61000     3.21999     1.61000    -0.00000
     1      8     4.61119     1.95568     0.34991     4.61119     0.43095     1.87464     4.61119     2.30560     0.00000     4.61119     2.30560     0.00000     4.61119     2.30560     0.00000     4.61119     2.30560     0.00000     4.61119     0.00234     2.30326     4.61119     2.30560     0.00000     4.61119     2.30560     0.00000     4.61119     2.30560     0.00000
     1      9     3.95007     1.34444     0.63060     2.68888     0.47205     0.87239     2.68888     1.34444     0.00000     2.68888     0.52210     0.82235     2.68888     0.00542     1.33902     2.68888     1.09918     0.24526     3.95007     0.00114     1.97390     2.68888     1.34444     0.00000     2.68888     0.00000     1.34444     2.68888     1.34444     0.00000
     1     10     6.92698     3.46349     0.00000     6.92698     1.23998     2.22351     6.92698     2.44986     1.01363     6.92698     0.82554     2.63795     6.92698     0.00857     3.45492     6.92698     2.88729     0.57620     6.92698     0.00300     3.46049     6.92698     2.74313     0.72036     6.92698     0.00000     3.46349     6.38030     3.19015     0.00000
     1     11     7.62766     3.46803     0.34580     7.62766     2.02684     1.78699     7.62766     0.16095     3.65288     7.62766     0.00000     3.81383     7.62766     0.00000     3.81383     7.62766     2.67499     1.13884     7.62766     0.00358     3.81025     7.62766     3.81383     0.00000     7.62766     0.00000     3.81383     7.62766     3.81383    -0.00000
     1     12     7.95692     3.61773     0.36072     7.95692     2.11433     1.86413     7.95692     0.16790     3.81056     7.95692     0.00000     3.97846     7.95692     0.00000     3.97846     7.95692     2.79046     1.18800     7.95692     0.00374     3.97472     7.95692     3.97846     0.00000     7.95692     0.00000     3.97846     7.95692     3.97846     0.00000
     2      6     1.59637     0.73544     0.06275     0.00000     0.00000     0.00000     1.98667     0.30783     0.68551     1.78796     0.72637     0.16761     1.66514     0.00000     0.83257     1.89407     0.77727     0.16977     1.06210     0.53105    -0.00000     1.59637     0.79818     0.00000     1.98667     0.00480     0.98853     1.78796     0.00000     0.89398
     2      7     2.59116     1.29558     0.00000     2.96445     0.00000     1.48222     2.96445     0.52568     0.95654     2.96445     1.24260     0.23962     2.79293     0.00000     1.39646     2.79293     1.38209     0.01437     2.96445     0.51599     0.96623     2.79293     1.39646     0.00000     2.96445     0.04612     1.43611     2.79293     0.00000     1.39646
     2      8     3.90175     1.95087     0.00000     3.90175     1.95087     0.00000     3.90175     0.81583     1.13504     3.90175     1.92847     0.02240     3.90175     1.02252     0.92836     3.90175     1.95087     0.00000     3.90175     0.80080     1.15008     3.90175     1.95087     0.00000     3.90175     0.07157     1.87930     3.90175     0.63128     1.31959
     2      9     1.34444     0.67222     0.00000     1.34444     0.00000     0.67222     2.22204     0.39505     0.71597     2.22204     0.61496     0.49606     1.99161     0.00753     0.98828     1.99161     0.99581     0.00000     4.77235     0.00000     2.38617     4.77235     0.87684     1.50933     2.22204     0.17270     0.93832     1.99161     0.00000     0.99581
     2     10     5.11724     2.55862     0.00000     5.47060     0.00000     2.73530     5.11724     1.62814     0.93048     5.11934     2.53445     0.02522     3.98322     0.03102     1.96060     5.11724     2.55862     0.00000     5.12757     0.00000     2.56378     5.13025     2.55862     0.00651     5.11724     0.71176     1.84686     5.11724     0.00000     2.55862
     2     11     6.84406     3.40318     0.01885     6.35687     0.00000     3.17843     6.84406     3.27729     0.14474     6.84406     3.27098     0.15105     6.84406     3.42203     0.00000     6.84406     3.42203     0.00000     6.84406     0.48873     2.93329     6.62345     3.31173     0.00000     6.84406     3.38438     0.03765     6.35687     2.33742     0.84101
     2     12     6.89213     3.44606     0.00000     5.31042     0.00000     2.65521     7.10353     3.26747     0.28430     7.10353     3.25694     0.29483     7.10353     3.50884     0.04292     7.10353     3.47315     0.07862     7.10353     0.50196     3.04981     6.62927     3.31464     0.00000     6.89213     3.44606     0.00000     7.10353     2.40067     1.15109
     3      6     1.06210     0.00000     0.53105     1.06210     0.00000     0.53105     1.06210     0.00000     0.53105     1.06210     0.00000     0.53105     1.06210     0.00000     0.53105     1.06210     0.00000     0.53105     1.06210     0.00000     0.53105     1.06210     0.00000     0.53105     1.06210     0.00000     0.53105     1.06210     0.00000     0.53105
     3      7     2.68558     0.71390     0.62889     2.68558     0.00000     1.34279     2.68558     0.00000     1.34279     2.68558     0.00000     1.34279     2.68558     0.95292     0.38987     2.14715     1.07358     0.00000     2.68558     0.00144     1.34135     2.14715     0.38183     0.69174     2.68558     0.00144     1.34135     2.68558     0.02185     1.32094
     3      8     3.54813     0.08696     1.68711     3.54813     0.00000     1.77406     3.54813     0.00000     1.77406     3.54813     0.00000     1.77406     3.54813     1.58941     0.18466     3.54813     1.77406     0.00000     3.54813     1.77406     0.00000     3.54813     1.75392     0.02014     3.54813     1.77406     0.00000     3.54813     0.76516     1.00891
