 Cycle Period    Power(1)    Power(2)    Power(3)    Power(4)    Power(5)    Power(6)    Power(7)    Power(8)    Power(9)    Power(10)
     1      6     1.72952     0.00000     0.00000     0.00000     1.02666     0.00000     0.00000     0.00000     0.00000     0.00000
     1      7     3.21999     3.21999     3.21999     3.21999     3.21999     3.21999     3.21999     3.21999     3.21999     3.21999
     1      8     4.61119     4.61119     4.61119     4.61119     4.61119     4.61119     4.61119     4.61119     4.61119     4.61119
     1      9     3.95007     2.68888     2.68888     2.68888     2.68888     2.68888     3.95007     2.68888     2.68888     2.68888
     1     10     6.92698     6.92698     6.92698     6.92698     6.92698     6.92698     6.92698     6.92698     6.92698     6.38030
     1     11     7.62766     7.62766     7.62766     7.62766     7.62766     7.62766     7.62766     7.62766     7.62766     7.62766
     1     12     7.95692     7.95692     7.95692     7.95692     7.95692     7.95692     7.95692     7.95692     7.95692     7.95692
     2      6     1.59637     0.00000     1.98667     1.78796     1.66514     1.89407     1.06210     1.59637     1.98667     1.78796
     2      7     2.59116     2.96445     2.96445     2.96445     2.79293     2.79293     2.96445     2.79293     2.96445     2.79293
     2      8     3.90175     3.90175     3.90175     3.90175     3.90175     3.90175     3.90175     3.90175     3.90175     3.90175
     2      9     1.34444     1.34444     2.22204     2.22204     1.99161     1.99161     4.77235     4.77235     2.22204     1.99161
     2     10     5.11724     5.47060     5.11724     5.11934     3.98322     5.11724     5.12757     5.13025     5.11724     5.11724
     2     11     6.84406     6.35687     6.84406     6.84406     6.84406     6.84406     6.84406     6.62345     6.84406     6.35687
     2     12     6.89213     5.31042     7.10353     7.10353     7.10353     7.10353     7.10353     6.62927     6.89213     7.10353
     3      6     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210     1.06210
     3      7     2.68558     2.68558     2.68558     2.68558     2.68558     2.14715     2.68558     2.14715     2.68558     2.68558
     3      8     3.54813     3.54813     3.54813     3.54813     3.54813     3.54813     3.54813     3.54813     3.54813     3.54813
     3      9     4.71925     4.71925     4.71925     4.71925     4.71925     4.71925     4.43252     4.43252     4.43252     4.71925
     3     10     3.87912     3.33605     2.68888     2.68888     3.88467     2.68888     3.87124     3.87124     3.87124     3.87912
     3     11     5.13032     5.13032     5.13106     4.86173     5.13032     5.13106     5.13032     5.13032     5.13032     5.13106
     3     12     6.35121     5.31042     6.35121     5.70583     5.31042     5.34409     5.31042     5.31042     5.31042     6.35121
     4      5     0.40830     0.40830     0.35403     0.40830     0.40830     0.40830     0.35403     0.40830     0.40830     0.40830
     4      6     1.44519     1.44519     0.00000     1.44519     1.10392     1.10392     1.44519     1.10392     1.44519     1.06210
     4      7     2.24556     2.24556     1.06210     2.40173     1.81171     2.03826     2.53448     1.81171     2.24556     2.53448
     4      8     3.36849     3.36849     3.36084     3.36849     3.36084     3.36084     3.36084     3.36849     3.36084     3.36849
     4      9     4.44470     4.44470     3.81704     3.81704     3.81704     4.44470     4.44470     4.44470     3.81704     4.44470
     4     10     5.29472     5.29472     5.29472     5.29472     5.29472     5.29472     5.29472     5.29472     5.29472     5.29472
     4     11     4.57285     4.57285     4.57285     4.57285     4.93471     4.57934     3.98322     4.93523     4.57285     4.57934
     4     12     5.19975     5.19975     5.19975     5.19975     5.19975     3.98322     5.19975     5.19975     5.19975     5.19975
     5      6     1.35994     1.35994     1.35994     1.35994     1.04709     1.04709     1.35994     1.35994     0.00000     1.35994
     5      7     2.36721     2.24954     2.36721     2.36721     2.24954     2.24954     2.36721     2.24954     2.36721     2.36721
     5      8     3.16866     2.99681     3.16866     3.16866     2.99681     3.16866     2.99681     3.16866     3.16866     3.16866
     5      9     3.42055     3.42055     3.90551     3.42055     3.42055     3.42055     3.90551     3.42055     3.42055     3.42055
     5     10     1.34444     1.99161     2.16590     1.34444     1.34444     1.99161     2.16590     2.16590     1.99161     2.16590
     5     11     3.92956     3.93759     3.93292     3.92956     3.93759     3.93292     5.49248     3.92956     3.93759     3.93759
     5     12     4.59045     4.59468     4.59045     4.59045     4.16556     5.20746     4.59468     4.59468     4.59045     4.93304
     5     13     4.63894     4.64124     4.96643     4.64124     4.96643     4.64124     4.96643     4.64124     4.63894     4.64124
     6      5     0.35403     0.35403     0.35403     0.35403     0.35972     0.35972     0.35403     0.35403     0.35972     0.35403
     6      6     0.95878     0.95878     0.95878     0.95878     0.95878     0.95878     0.95878     0.95878     0.95878     1.22748
     6      7     1.89330     2.00298     2.00298     1.06210     2.09622     1.06210     2.00298     2.00298     1.06210     2.09622
     6      8     2.83013     2.83013     2.83013     2.68712     2.83013     2.83013     2.83013     2.83013     2.83013     2.83013
     6      9     3.47206     3.47206     3.47206     3.47206     3.47206     3.47206     3.47206     3.36084     3.47206     3.47206
     6     10     3.55847     3.55847     0.00000     0.00000     0.00000     0.00000     3.55847     3.55847     3.55847     3.55847
     6     11     2.63344     1.99161     2.63344     2.63344     2.63344     2.63344     2.63344     2.63344     2.63344     4.14567
     6     12     3.30138     4.35384     3.30138     3.30138     3.30138     3.30138     4.35384     3.30138     3.30138     3.30138
     7      6     0.50861     1.10445     0.87676     0.87676     0.87676     0.87676     0.87676     0.87676     0.87676     0.87676
     7      7     1.69413     1.77753     1.84843     1.54383     1.69413     1.77753     1.54383     1.54383     1.40149     1.54383
     7      8     2.52587     2.52587     2.52587     2.52587     2.52587     2.52587     2.52587     2.52587     2.52587     2.52587
     7      9     3.10910     3.10910     3.10910     3.10910     2.96153     3.10910     3.10910     2.96153     3.10910     3.10910
     7     10     3.32545     3.32545     3.32545     3.65569     3.32545     3.32545     3.32545     3.32545     3.32545     3.32545
     7     11     1.89274     1.89274     1.89274     3.36084     1.89274     1.89274     1.89274     3.68577     1.89274     1.89274
     7     12     2.53053     2.53053     2.53053     2.53053     3.86106     2.53053     2.53053     3.86106     2.53053     3.86106
     8      6     0.82688     0.82688     0.82688     0.82688     0.82688     0.82688     0.82688     0.82688     0.82688     0.82688
     8      7     1.49777     1.49777     1.16706     1.16706     1.06210     1.16706     1.16706     0.00000     1.16706     1.49777
     8      8     1.75873     1.75873     1.75873     1.75873     1.95921     1.95921     1.75873     1.75873     1.75873     1.75873
     8      9     2.24056     2.24056     2.93018     2.93018     2.93018     2.63008     2.93018     2.93018     2.24056     2.63008
     8     10     3.24183     3.36084     3.37634     3.37634     3.37634     3.36084     3.37634     3.37634     3.24183     3.37634
     8     11     0.00000     3.82092     0.00000     3.72386     0.00000     3.75657     3.49550     0.00000     3.49550     3.49550
     8     12     1.95027     1.95027     3.91686     3.91686     3.91686     3.68349     3.68349     1.95027     1.95027     1.95027
     8     13     2.48515     2.48515     2.48515     2.48515     2.48515     3.68017     2.48515     2.48515     2.48515     2.48515
     9      6     0.70807     0.46251     0.78457     0.78457     0.78457     0.78457     0.78457     0.78457     0.46251     0.46251
     9      7     1.10839     0.63847     1.10839     1.10839     1.10839     1.10839     1.06210     1.10839     0.00000     1.10839
     9      8     1.12028     1.12028     1.14360     1.12028     1.12028     1.99797     1.14360     1.12028     1.12028     1.12028
     9      9     2.24056     2.74552     2.74552     2.74552     2.24056     2.74552     2.74552     2.74552     2.47509     2.74552
     9     10     3.04078     3.17269     3.17269     3.17269     3.17269     3.17269     3.17269     3.17269     3.17269     3.17269
