   
 Cycle     Profits
   191   139317.16
   194   187499.49
   197   184194.74
   200   223687.80
   203   375433.76
   206   529868.09
   209   471174.59
   212   551263.58
   215  1117651.46
   218   715097.70
   621   632351.98
   624   528434.37
   627   472467.37
   630   253651.05
   633   277338.37
   636   203202.28
   639   183905.90
   642   117820.58
   645   101466.97
   649   100273.83 
  1102   119580.99
  1105    86175.70  
  1108   190362.81
  1111   211048.97
  1114   319849.49
  1117   225923.68
  1120   408454.47
  1123   719881.52
  1126   719207.05
  1129   562877.58
  1362   675569.63
  1365   600413.69
  1368   444530.76
  1371   412023.37
  1374   327004.61
  1377   276712.22
  1380   122309.91
  1383   130961.02
  1386   224811.73
  1389   142594.29
